Item,Condition,Expectancy,Particle,Context,Start sentence,R-Expression,Particle used,Original particle,unexpected  and unfair,list
5,2,high,EW,"Vor allem Hartz-IV-Empfänger leiden stark unter der Inflation und den extrem steigenden Nebenkosten. Das Bundesministerium hat angekündigt, der Bevölkerung entgegenkommen zu wollen. Eine der Maßnahmen ist das 9-Euro-Ticket, womit jeder für 9 Euro einen Monat lang durch ganz Deutschland mit dem Zug fahren kann. Die Hartz-IV-Empfänger freuen sich sehr über diese Entscheidung.",Ausgerechnet Harz-IV-Empfänger,Harz-IV-Empfänger,ausgerechnet,ausgerechnet,unexpected,6
5,3,high,OH,"Vor allem Hartz-IV-Empfänger leiden stark unter der Inflation und den extrem steigenden Nebenkosten. Das Bundesministerium hat angekündigt, der Bevölkerung entgegenkommen zu wollen. Eine der Maßnahmen ist das 9-Euro-Ticket, womit jeder für 9 Euro einen Monat lang durch ganz Deutschland mit dem Zug fahren kann. Die Hartz-IV-Empfänger freuen sich sehr über diese Entscheidung.",Harz-IV-Empfänger,Harz-IV-Empfänger,ohne,ohne,unexpected,1
5,4,medium,RA,"Das Bundesministerium hat ein 9-Euro-Ticket eingeführt, womit jeder für 9 Euro einen Monat lang mit dem Zug durch ganz Deutschland fahren kann.",Lediglich Harz-IV-Empfänger,Harz-IV-Empfänger,lediglich,lediglich,unexpected,2
5,5,medium,EW,"Das Bundesministerium hat ein 9-Euro-Ticket eingeführt, womit jeder für 9 Euro einen Monat lang mit dem Zug durch ganz Deutschland fahren kann.",Ausgerechnet Harz-IV-Empfänger,Harz-IV-Empfänger,ausgerechnet,ausgerechnet,unexpected,3
5,6,medium,OH,"Das Bundesministerium hat ein 9-Euro-Ticket eingeführt, womit jeder für 9 Euro einen Monat lang mit dem Zug durch ganz Deutschland fahren kann.",Harz-IV-Empfänger,Harz-IV-Empfänger,ohne,ohne,unexpected,4
6,1,high,RA,"Nadja hat einen guten Job und hat ein gutes Gehalt. Sie kann jeden Monat sparen und zusätzlich feiern gehen. Nächste Woche hat sie einen Termin bei ihrer Bank, um eine Hypothek für ihr Traumhaus anzufragen.  ",Auch Nadja,Nadja,auch,auch,unexpected,6
6,2,high,EW,"Nadja hat einen guten Job und hat ein gutes Gehalt. Sie kann jeden Monat sparen und zusätzlich feiern gehen. Nächste Woche hat sie einen Termin bei ihrer Bank, um eine Hypothek für ihr Traumhaus anzufragen.  ",Ausgerechnet Nadja,Nadja,ausgerechnet,ausgerechnet,unexpected,1
6,3,high,OH,"Nadja hat einen guten Job und hat ein gutes Gehalt. Sie kann jeden Monat sparen und zusätzlich feiern gehen. Nächste Woche hat sie einen Termin bei ihrer Bank, um eine Hypothek für ihr Traumhaus anzufragen.  ",Nadja,Nadja,ohne,ohne ,unexpected,2
6,4,medium,RA,"Nadja hat einen stabilen Job. Ihre Rechnungen werden zeitnah beglichen und insofern kann sie sich nicht beschweren. Nächste Woche hat sie einen Termin bei ihrer Bank, um eine Hypothek für ihr Traumhaus anzufragen.",Auch Nadja,Nadja,auch,auch,unexpected,3
6,5,medium,EW,"Nadja hat einen stabilen Job. Ihre Rechnungen werden zeitnah beglichen und insofern kann sie sich nicht beschweren. Nächste Woche hat sie einen Termin bei ihrer Bank, um eine Hypothek für ihr Traumhaus anzufragen.  ",Ausgerechnet Nadja,Nadja,ausgerechnet,ausgerechnet,unexpected,4
6,6,medium,OH,"Nadja hat einen stabilen Job. Ihre Rechnungen werden zeitnah beglichen und insofern kann sie sich nicht beschweren. Nächste Woche hat sie einen Termin bei ihrer Bank, um eine Hypothek für ihr Traumhaus anzufragen.  ",Nadja,Nadja,ohne,ohne ,unexpected,5
7,1,high,RA,Erhard wird heute viel zu spät bei der Arbeit erscheinen. Er hat verschlafen und keine Zeit gehabt zu frühstücken. Außerdem regnet es draußen. Erhard rennt schnell zu seinem Auto.,Sogar heute,heute ,sogar,sogar,unexpected and unfair,1
7,2,high,EW,Erhard wird heute viel zu spät bei der Arbeit erscheinen. Er hat verschlafen und keine Zeit gehabt zu frühstücken. Außerdem regnet es draußen. Erhard rennt schnell zu seinem Auto.,Eben heute,heute ,eben,eben,unexpected  and unfair,2
7,3,high,OH,Erhard wird heute viel zu spät bei der Arbeit erscheinen. Er hat verschlafen und keine Zeit gehabt zu frühstücken. Außerdem regnet es draußen. Erhard rennt schnell zu seinem Auto.,Heute,heute ,ohne,ohne,unexpected and unfair,3
7,4,medium,RA,"Erhard hat gerade ein Bauernfrühstück verzehrt und schaut, bevor er zur Arbeit fährt, noch kurz die Tagesschau. Dann wird er seine Jacke anziehen und zum Auto laufen.",Sogar heute,heute ,sogar,sogar,unexpected,4
7,5,medium,EW,"Erhard hat gerade ein Bauernfrühstück verzehrt und schaut, bevor er zur Arbeit fährt, noch kurz die Tagesschau. Dann wird er seine Jacke anziehen und zum Auto laufen.",Eben heute,heute ,eben,eben,unexpected,5
7,6,medium,OH,"Erhard hat gerade ein Bauernfrühstück verzehrt und schaut, bevor er zur Arbeit fährt, noch kurz die Tagesschau. Dann wird er seine Jacke anziehen und zum Auto laufen.",Heute,heute ,ohne,ohne,unexpected,6
8,1,high,RA,Moritz ist gelernter Waffenmechaniker und Sportschütze. Er hat einen absolut sicheren Umgang mit Waffen. Heute wird bei der Arbeit eine Schießübung gemacht.,Auch Moritz,Moritz,auch ,auch,unexpected,2
8,2,high,EW,Moritz ist gelernter Waffenmechaniker und Sportschütze. Er hat einen absolut sicheren Umgang mit Waffen. Heute wird bei der Arbeit eine Schießübung gemacht.,Ausgerechnet Moritz,Moritz,ausgerechnet,ausgerechnet,unexpected,3
8,3,high,OH,Moritz ist gelernter Waffenmechaniker und Sportschütze. Er hat einen absolut sicheren Umgang mit Waffen. Heute wird bei der Arbeit eine Schießübung gemacht.,Moritz ,Moritz,ohne,ohne ,unexpected,4
8,4,medium,RA,Moritz arbeitet schon längere Zeit bei der Polizei und übt gelegentlich mit Waffen. Heute wird bei der Arbeit eine Schießübung gemacht. ,Auch Moritz,Moritz,auch ,auch,unexpected,5
8,5,medium,EW,Moritz arbeitet schon längere Zeit bei der Polizei und übt gelegentlich mit Waffen. Heute wird bei der Arbeit eine Schießübung gemacht. ,Ausgerechnet Moritz,Moritz,ausgerechnet,ausgerechnet,unexpected,6
8,6,medium,OH,Moritz arbeitet schon längere Zeit bei der Polizei und übt gelegentlich mit Waffen. Heute wird bei der Arbeit eine Schießübung gemacht. ,Moritz ,Moritz,ohne,ohne ,unexpected,1
9,1,high,RA,"Anna fliegt an Weihnachten nach Kuba. Sie hat bereits alles für den Urlaub erledigt und freut sich, dem Winter entfliehen zu können. ",Sogar einen Tag vor dem Abflug,einen Tag vor dem Abflug,sogar,sogar,unfair,3
9,2,high,EW,"Anna fliegt an Weihnachten nach Kuba. Sie hat bereits alles für den Urlaub erledigt und freut sich, dem Winter entfliehen zu können. ",Ausgerechnet einen Tag vor dem Abflug,einen Tag vor dem Abflug,ausgerechnet,ausgerechnet,unfair,4
9,3,high,OH,"Anna fliegt an Weihnachten nach Kuba. Sie hat bereits alles für den Urlaub erledigt und freut sich, dem Winter entfliehen zu können. ",Einen Tag vor dem Abflug,einen Tag vor dem Abflug,ohne,ohne ,unfair,5
9,4,medium,RA,Anna fliegt an Weihnachten nach Kuba. Ihr Flug ist am Morgen für 6:15 Uhr angesagt. ,Sogar einen Tag vor dem Abflug,einen Tag vor dem Abflug,sogar,sogar,unexpected,6
9,5,medium,EW,Anna fliegt an Weihnachten nach Kuba. Ihr Flug ist am Morgen für 6:15 Uhr angesagt. ,Ausgerechnet einen Tag vor dem Abflug,einen Tag vor dem Abflug,ausgerechnet,ausgerechnet,unexpected,1
9,6,medium,OH,Anna fliegt an Weihnachten nach Kuba. Ihr Flug ist am Morgen für 6:15 Uhr angesagt. ,Einen Tag vor dem Abflug,einen Tag vor dem Abflug,ohne,ohne ,unexpected,2
10,1,high,RA,"Nina arbeitet schon 20 Jahre in der gleichen Firma. Sie liefert täglich eine Topleistung ab. Die Firma hat angekündigt, einige Mitarbeiter entlassen zu müssen.",Auch Nina,Nina ,auch,auch,unexpected and unfair,4
10,2,high,EW,"Nina arbeitet schon 20 Jahre in der gleichen Firma. Sie liefert täglich eine Topleistung ab. Die Firma hat angekündigt, einige Mitarbeiter entlassen zu müssen.",Ausgerechnet Nina,Nina ,ausgerechnet,ausgerechnet,unexpected and unfair,5
10,3,high,OH,"Nina arbeitet schon 20 Jahre in der gleichen Firma. Sie liefert täglich eine Topleistung ab. Die Firma hat angekündigt, einige Mitarbeiter entlassen zu müssen.",Nina,Nina ,ohne,ohne,unexpected and unfair,6
10,4,medium,RA,"Nina arbeitet zusammen mit 30 anderen Kundenservicemitarbeitern für eine große Telefonie-Firma. Die Firma hat angekündigt, einige Mitarbeiter entlassen zu müssen. ",Auch Nina,Nina ,auch,auch,unexpected and unfair,1
10,5,medium,EW,"Nina arbeitet zusammen mit 30 anderen Kundenservicemitarbeitern für eine große Telefonie-Firma. Die Firma hat angekündigt, einige Mitarbeiter entlassen zu müssen. ",Ausgerechnet Nina,Nina ,ausgerechnet,ausgerechnet,unexpected and unfair,2
10,6,medium,OH,"Nina arbeitet zusammen mit 30 anderen Kundenservicemitarbeitern für eine große Telefonie-Firma. Die Firma hat angekündigt, einige Mitarbeiter entlassen zu müssen. ",Nina,Nina ,ohne,ohne,unexpected and unfair,3
11,1,high,RA,Julia fährt jeden Morgen mit dem Fahrrad zur Arbeit. Am Dienstag hatte sie eine wichtige Besprechung mit einer potenziellen neuen Kundin.,Erst dann,dann,erst,erst,unexpected,5
11,2,high,EW,Julia fährt jeden Morgen mit dem Fahrrad zur Arbeit. Am Dienstag hatte sie eine wichtige Besprechung mit einer potenziellen neuen Kundin.,Gerade dann,dann,gerade,gerade,unexpected,6
11,3,high,OH,Julia fährt jeden Morgen mit dem Fahrrad zur Arbeit. Am Dienstag hatte sie eine wichtige Besprechung mit einer potenziellen neuen Kundin.,Dann,dann,ohne,ohne ,unexpected,1
11,4,medium,RA,Julia fährt jeden Morgen mit dem Fahrrad zur Arbeit. Am Dienstag hatte sie eine Besprechung mit einer Kollegin. ,Erst dann,dann,erst,erst,unexpected,2
11,5,medium,EW,Julia fährt jeden Morgen mit dem Fahrrad zur Arbeit. Am Dienstag hatte sie eine Besprechung mit einer Kollegin. ,Gerade dann,dann,gerade,gerade,unexpected,3
11,6,medium,OH,Julia fährt jeden Morgen mit dem Fahrrad zur Arbeit. Am Dienstag hatte sie eine Besprechung mit einer Kollegin. ,Dann,dann,ohne,ohne ,unexpected,4
12,1,high,RA,"Lisa hat eine chronische Krankheit, die ihre Leistungsfähigkeit bei der Arbeit stark beeinträchtigt. Ihr Arbeitgeber hat sie nun zum Evaluationsgespräch eingeladen.",Auch Lisa,Lisa,auch,auch,unexpected,6
12,2,high,EW,"Lisa hat eine chronische Krankheit, die ihre Leistungsfähigkeit bei der Arbeit stark beeinträchtigt. Ihr Arbeitgeber hat sie nun zum Evaluationsgespräch eingeladen.",Ausgerechnet Lisa,Lisa,ausgerechnet,ausgerechnet,unexpected,1
12,3,high,OH,"Lisa hat eine chronische Krankheit, die ihre Leistungsfähigkeit bei der Arbeit stark beeinträchtigt. Ihr Arbeitgeber hat sie nun zum Evaluationsgespräch eingeladen.",Lisa,Lisa,ohne,ohne,unexpected,2
12,4,medium,RA,"Lisa hat eine chronische Krankheit, die ihre Leistungsfähigkeit bei der Arbeit aber nicht beeinträchtigt. Morgen hat sie das jährliche Evaluationsgespräch mit ihrem Arbeitgeber.",Auch Lisa,Lisa,auch,auch,unexpected,3
12,5,medium,EW,"Lisa hat eine chronische Krankheit, die ihre Leistungsfähigkeit bei der Arbeit aber nicht beeinträchtigt. Morgen hat sie das jährliche Evaluationsgespräch mit ihrem Arbeitgeber.",Ausgerechnet Lisa,Lisa,ausgerechnet,ausgerechnet,unexpected,4
12,6,medium,OH,"Lisa hat eine chronische Krankheit, die ihre Leistungsfähigkeit bei der Arbeit aber nicht beeinträchtigt. Morgen hat sie das jährliche Evaluationsgespräch mit ihrem Arbeitgeber.",Lisa,Lisa,ohne,ohne,unexpected,5
13,1,high,RA,"Weltweit herrscht seit 2 Jahren eine furchtbare Pandemie. Holland hat im Vergleich zu anderen europäischen Ländern wenige Maßnahmen getroffen, um die Pandemie zu bekämpfen. ",Nur Holland,Holland ,nur,nur,unexpected,1
13,2,high,EW,"Weltweit herrscht seit 2 Jahren eine furchtbare Pandemie. Holland hat im Vergleich zu anderen europäischen Ländern wenige Maßnahmen getroffen, um die Pandemie zu bekämpfen. ",Ausgerechnet Holland,Holland ,ausgerechnet,ausgerechnet,unexpected,2
13,3,high,OH,"Weltweit herrscht seit 2 Jahren eine furchtbare Pandemie. Holland hat im Vergleich zu anderen europäischen Ländern wenige Maßnahmen getroffen, um die Pandemie zu bekämpfen. ",Holland ,Holland ,ohne,ohne ,unexpected,3
13,4,medium,RA,"Weltweit herrscht seit 2 Jahren eine furchtbare Pandemie. Holland hat so wie alle anderen Länder in Europa Maßnahmen getroffen, um die Pandemie zu bekämpfen.",Nur Holland,Holland ,nur,nur,unexpected,4
13,5,medium,EW,"Weltweit herrscht seit 2 Jahren eine furchtbare Pandemie. Holland hat so wie alle anderen Länder in Europa Maßnahmen getroffen, um die Pandemie zu bekämpfen.",Ausgerechnet Holland,Holland ,ausgerechnet,ausgerechnet,unexpected,5
13,6,medium,OH,"Weltweit herrscht seit 2 Jahren eine furchtbare Pandemie. Holland hat so wie alle anderen Länder in Europa Maßnahmen getroffen, um die Pandemie zu bekämpfen.",Holland ,Holland ,ohne,ohne ,unexpected,6
14,1,high,RA,Topsportler Jonas kümmert sich sehr um seine Gesundheit: er isst jeden Tag viel Obst und Gemüse und trainiert mehrmals wöchentlich. Letzte Woche hatte er seine jährliche betriebsärztliche Untersuchung. ,Sogar Jonas,Jonas ,sogar,sogar,unexpected,2
14,2,high,EW,Topsportler Jonas kümmert sich sehr um seine Gesundheit: er isst jeden Tag viel Obst und Gemüse und trainiert mehrmals wöchentlich. Letzte Woche hatte er seine jährliche betriebsärztliche Untersuchung. ,Gerade Jonas,Jonas ,gerade,gerade,unexpected,3
14,3,high,OH,Topsportler Jonas kümmert sich sehr um seine Gesundheit: er isst jeden Tag viel Obst und Gemüse und trainiert mehrmals wöchentlich. Letzte Woche hatte er seine jährliche betriebsärztliche Untersuchung. ,Jonas ,Jonas ,ohne,ohne,unexpected,4
14,4,medium,RA,Jonas treibt gelegentlich Sport und ernährt sich überwiegend gesund. Letzte Woche hatte er seine jährliche betriebsärztliche Untersuchung.,Sogar Jonas,Jonas ,sogar,sogar,unexpected,5
14,5,medium,EW,Jonas treibt gelegentlich Sport und ernährt sich überwiegend gesund. Letzte Woche hatte er seine jährliche betriebsärztliche Untersuchung.,Gerade Jonas,Jonas ,gerade,gerade,unexpected,6
14,6,medium,OH,Jonas treibt gelegentlich Sport und ernährt sich überwiegend gesund. Letzte Woche hatte er seine jährliche betriebsärztliche Untersuchung.,Jonas ,Jonas ,ohne,ohne,unexpected,1
15,1,high,RA,Kevin ist seit 2001 Koch in einem beliebten Restaurant in Berlin. Täglich bereitet er mit viel Liebe die leckersten Gerichte für seine Gäste zu. Am Donnerstag kommt ein Inspektor für eine eventuelle Michelin-Stern-Vergabe vorbei.  ,Nur an diesem Tag,an diesem Tag,bloß,bloß,unexpected,3
15,2,high,EW,Kevin ist seit 2001 Koch in einem beliebten Restaurant in Berlin. Täglich bereitet er mit viel Liebe die leckersten Gerichte für seine Gäste zu. Am Donnerstag kommt ein Inspektor für eine eventuelle Michelin-Stern-Vergabe vorbei.  ,Genau an diesem Tag,an diesem Tag,genau,genau,unexpected,4
15,3,high,OH,Kevin ist seit 2001 Koch in einem beliebten Restaurant in Berlin. Täglich bereitet er mit viel Liebe die leckersten Gerichte für seine Gäste zu. Am Donnerstag kommt ein Inspektor für eine eventuelle Michelin-Stern-Vergabe vorbei.  ,An diesem Tag,an diesem Tag,ohne,ohne,unexpected,5
15,4,medium,RA,Kevin ist Koch in einem Restaurant in Berlin. Am Donnerstag gibt es eine Inspektion für eine eventuelle Michelin-Stern-Vergabe.,Nur an diesem Tag,an diesem Tag,bloß,bloß,unexpected,6
15,5,medium,EW,Kevin ist Koch in einem Restaurant in Berlin. Am Donnerstag gibt es eine Inspektion für eine eventuelle Michelin-Stern-Vergabe.,Genau an diesem Tag,an diesem Tag,genau,genau,unexpected,1
15,6,medium,OH,Kevin ist Koch in einem Restaurant in Berlin. Am Donnerstag gibt es eine Inspektion für eine eventuelle Michelin-Stern-Vergabe.,An diesem Tag,an diesem Tag,ohne,ohne ,unexpected,2
16,1,high,RA,Max geht wöchentlich mit seinem Hund in die Hundeschule. Seit dem Welpenalter arbeitet Max zusammen mit dem Hund an guter Gehorsamkeit und Teambuilding. Kurz vor Weihnachten stand eine wichtige Prüfung an. ,Auch dann,dann,auch,auch,unexpected,4
16,2,high,EW,Max geht wöchentlich mit seinem Hund in die Hundeschule. Seit dem Welpenalter arbeitet Max zusammen mit dem Hund an guter Gehorsamkeit und Teambuilding. Kurz vor Weihnachten stand eine wichtige Prüfung an. ,Genau dann,dann,genau,genau,unexpected,5
16,3,high,OH,Max geht wöchentlich mit seinem Hund in die Hundeschule. Seit dem Welpenalter arbeitet Max zusammen mit dem Hund an guter Gehorsamkeit und Teambuilding. Kurz vor Weihnachten stand eine wichtige Prüfung an. ,Dann,dann,ohne,ohne,unexpected,6
16,4,medium,RA,Max geht gelegentlich mit seinem Hund in die Hundeschule. Kurz vor Weihnachten stand eine Prüfung an. ,Auch dann,dann,auch,auch,unexpected,1
16,5,medium,EW,Max geht gelegentlich mit seinem Hund in die Hundeschule. Kurz vor Weihnachten stand eine Prüfung an. ,Genau dann,dann,genau,genau,unexpected,2
16,6,medium,OH,Max geht gelegentlich mit seinem Hund in die Hundeschule. Kurz vor Weihnachten stand eine Prüfung an. ,Dann,dann,ohne,ohne,unexpected,3
17,1,high,RA,Der Wetterdienst hat seit 10 Jahren eine sehr hohe Präzision. Laut dem Wetterbericht soll es diese Woche heftig schneien. ,Nur diese Woche,diese Woche,nur,nur,unexpected,5
17,2,high,EW,Der Wetterdienst hat seit 10 Jahren eine sehr hohe Präzision. Laut dem Wetterbericht soll es diese Woche heftig schneien. ,Eben diese Woche,diese Woche,eben,eben,unexpected,6
17,3,high,OH,Der Wetterdienst hat seit 10 Jahren eine sehr hohe Präzision. Laut dem Wetterbericht soll es diese Woche heftig schneien. ,Diese Woche,diese Woche,ohne,ohne ,unexpected,1
17,4,medium,RA,Der Wetterdienst hat in den letzten Jahren überwiegend zuverlässige Wettervorhersagen gemacht. Laut dem Wetterbericht soll es diese Woche heftig schneien. ,Nur diese Woche,diese Woche,nur,nur,unexpected,2
17,5,medium,EW,Der Wetterdienst hat in den letzten Jahren überwiegend zuverlässige Wettervorhersagen gemacht. Laut dem Wetterbericht soll es diese Woche heftig schneien. ,Eben diese Woche,diese Woche,eben,eben,unexpected,3
17,6,medium,OH,Der Wetterdienst hat in den letzten Jahren überwiegend zuverlässige Wettervorhersagen gemacht. Laut dem Wetterbericht soll es diese Woche heftig schneien. ,Diese Woche,diese Woche,ohne,ohne ,unexpected,4
18,1,high,RA,"Schon seit sie ein Kind war, sammelt Nora Münzen. Sie hat sehr viel Erfahrung und erkennt sehr wertvolle Exemplare sofort. Gestern brachte ihr ein befreundeter Sammler eine angeblich seltene Münze.",Auch diese Münze,diese Münze,auch,auch,unexpected,6
18,2,high,EW,"Schon seit sie ein Kind war, sammelt Nora Münzen. Sie hat sehr viel Erfahrung und erkennt sehr wertvolle Exemplare sofort. Gestern brachte ihr ein befreundeter Sammler eine angeblich seltene Münze.",Ausgerechnet diese Münze,diese Münze,ausgerechnet,ausgerechnet,unexpected,1
18,3,high,OH,"Schon seit sie ein Kind war, sammelt Nora Münzen. Sie hat sehr viel Erfahrung und erkennt sehr wertvolle Exemplare sofort. Gestern brachte ihr ein befreundeter Sammler eine angeblich seltene Münze.",Diese Münze ,diese Münze,ohne,ohne,unexpected,2
18,4,medium,RA,"Nora sammelt schon länger Münzen. Die Erfahrung, die sie gesammelt hat, hilft ihr dabei, öfters sehr wertvolle Exemplare zu erkennen. Gestern brachte ihr ein befreundeter Sammler eine angeblich seltene Münze. ",Auch diese Münze,diese Münze,auch,auch,unexpected,3
