Item,Condition,Expectancy,Particle,Context,Start sentence,R-Expression,Particle used,Original particle,unexpected  and unfair,list,generation,model,temperature,seed
2,5,medium,EW,"Eva und Richard sind schon seit mehreren Jahren nicht mehr zusammen. Eva hat inzwischen einen neuen Freund, Paul, und auch Richard ist schon länger wieder in einer Beziehung. ",Ausgerechnet heute,heute ,ausgerechnet,ausgerechnet,unexpected,6,", als Eva und Richard sich zufällig auf der Straße begegneten, spürten sie noch immer eine gewisse Spannung zwischen sich, die sie nicht ignorieren konnten.",gpt-3.5-turbo-16k,1.0,2
2,6,medium,OH,"Eva und Richard sind schon seit mehreren Jahren nicht mehr zusammen. Eva hat inzwischen einen neuen Freund, Paul, und auch Richard ist schon länger wieder in einer Beziehung. ",Heute,heute ,ohne,ohne,unexpected,1,"Heute haben Eva und Richard sich zufällig in der Stadt getroffen, und obwohl es anfangs etwas unangenehm war, haben sie sich schließlich entspannt und eine freundliche Unterhaltung geführt.",gpt-3.5-turbo-16k,1.0,2
3,1,high,RA,"Tim liebt seinen neuen Volvo. Jeden Sonntag steht er extra früh auf, um sein Auto noch vor der neuen Arbeitswoche zu waschen. ",Nur Tims Volvo,Tims Volvo,nur,nur,unexpected  and unfair,3,"strahlt nach dem Waschen so schön in der Sonne, dass er sich jedes Mal wie ein neues Auto anfühlt.",gpt-3.5-turbo-16k,1.0,2
3,2,high,EW,"Tim liebt seinen neuen Volvo. Jeden Sonntag steht er extra früh auf, um sein Auto noch vor der neuen Arbeitswoche zu waschen. ",Ausgerechnet Tims Volvo,Tims Volvo,ausgerechnet,ausgerechnet,unexpected  and unfair,4,"hat einen kleinen Kratzer auf der Motorhaube, der ihn jedes Mal ärgert, wenn er ihn sieht.",gpt-3.5-turbo-16k,1.0,2
3,3,high,OH,"Tim liebt seinen neuen Volvo. Jeden Sonntag steht er extra früh auf, um sein Auto noch vor der neuen Arbeitswoche zu waschen. ",Tims Volvo,Tims Volvo,ohne,ohne,unexpected  and unfair,5,"ist für ihn wie ein treuer Begleiter, der ihm Komfort, Sicherheit und Fahrspaß bietet.",gpt-3.5-turbo-16k,1.0,2
3,4,medium,RA,"Tim hat einen neuen Volvo gekauft, weil der Kia, den er davor hatte, nicht genug Platz hatte für seine vier Kinder. ",Nur Tims Volvo,Tims Volvo,nur,nur,unexpected  and unfair,6,hat genügend Platz für alle vier Kinder und bietet zudem mehr Komfort und Sicherheit auf langen Fahrten.,gpt-3.5-turbo-16k,1.0,2
3,5,medium,EW,"Tim hat einen neuen Volvo gekauft, weil der Kia, den er davor hatte, nicht genug Platz hatte für seine vier Kinder. ",Ausgerechnet Tims Volvo,Tims Volvo,ausgerechnet,ausgerechnet,unexpected  and unfair,1,hat nun genug Platz für seine vier Kinder und bietet zudem noch Komfort und Sicherheit.,gpt-3.5-turbo-16k,1.0,2
3,6,medium,OH,"Tim hat einen neuen Volvo gekauft, weil der Kia, den er davor hatte, nicht genug Platz hatte für seine vier Kinder. ",Tims Volvo ,Tims Volvo,ohne,ohne,unexpected  and unfair,2,"ist geräumig genug, um seine vier Kinder bequem zu transportieren und bietet zudem eine komfortable und sichere Fahrt für die ganze Familie.",gpt-3.5-turbo-16k,1.0,2
4,1,high,RA,Chefarzt Neugebauer arbeitet seit 1980 als Herzchirurg im Krankenhaus von Mannheim. Durch seine jahrelange Erfahrung ist er sehr beliebt unter Kollegen und Patienten. Gestern kam die Ethik-Kommission zur jährlichen Kontrolle vorbei.,Nur Chefarzt Neugebauer,Chefarzt Neugebauer,nur,nur,unexpected,4,"war nicht überrascht über den spontanen Besuch der Ethik-Kommission, da er immer transparent und professionell gehandelt hat.",gpt-3.5-turbo-16k,1.0,2
4,2,high,EW,Chefarzt Neugebauer arbeitet seit 1980 als Herzchirurg im Krankenhaus von Mannheim. Durch seine jahrelange Erfahrung ist er sehr beliebt unter Kollegen und Patienten. Gestern kam die Ethik-Kommission zur jährlichen Kontrolle vorbei.,Gerade Chefarzt Neugebauer,Chefarzt Neugebauer,gerade,gerade,unexpected,5,"hat die Gelegenheit genutzt, um den Mitgliedern der Ethik-Kommission einen detaillierten Einblick in die Arbeit des Herzchirurgie-Teams zu geben.",gpt-3.5-turbo-16k,1.0,2
4,3,high,OH,Chefarzt Neugebauer arbeitet seit 1980 als Herzchirurg im Krankenhaus von Mannheim. Durch seine jahrelange Erfahrung ist er sehr beliebt unter Kollegen und Patienten. Gestern kam die Ethik-Kommission zur jährlichen Kontrolle vorbei.,Chefarzt Neugebauer,Chefarzt Neugebauer,ohne,ohne ,unexpected,6,", der seit 1980 als Herzchirurg im Krankenhaus von Mannheim arbeitet und durch seine jahrelange Erfahrung sehr beliebt unter Kollegen und Patienten ist, wurde gestern von der Ethik-Kommission zur jährlichen Kontrolle besucht.",gpt-3.5-turbo-16k,1.0,2
4,4,medium,RA,Chefarzt Neugebauer arbeitet seit 1980 als Herzchirurg im Krankenhaus von Mannheim. Gestern kam die Ethik-Kommission zur jährlichen Kontrolle vorbei.,Nur Chefarzt Neugebauer,Chefarzt Neugebauer,nur,nur,unexpected,1,"war anwesend, um den Mitgliedern der Ethik-Kommission einen detaillierten Einblick in seine Arbeit und seine Methoden als Herzchirurg zu geben.",gpt-3.5-turbo-16k,1.0,2
4,5,medium,EW,Chefarzt Neugebauer arbeitet seit 1980 als Herzchirurg im Krankenhaus von Mannheim. Gestern kam die Ethik-Kommission zur jährlichen Kontrolle vorbei.,Gerade Chefarzt Neugebauer,Chefarzt Neugebauer,gerade,gerade,unexpected,2,"war erleichtert, dass die Ethik-Kommission keine Beanstandungen gefunden hatte und lobte sein Team für die gute Arbeit.",gpt-3.5-turbo-16k,1.0,2
4,6,medium,OH,Chefarzt Neugebauer arbeitet seit 1980 als Herzchirurg im Krankenhaus von Mannheim. Gestern kam die Ethik-Kommission zur jährlichen Kontrolle vorbei.,Chefarzt Neugebauer,Chefarzt Neugebauer,ohne,ohne ,unexpected,3,", der seit 1980 als Herzchirurg im Krankenhaus von Mannheim arbeitet, führte gestern erfolgreich die jährliche Kontrolle der Ethik-Kommission durch.",gpt-3.5-turbo-16k,1.0,2
5,1,high,RA,"Vor allem Hartz-IV-Empfänger leiden stark unter der Inflation und den extrem steigenden Nebenkosten. Das Bundesministerium hat angekündigt, der Bevölkerung entgegenkommen zu wollen. Eine der Maßnahmen ist das 9-Euro-Ticket, womit jeder für 9 Euro einen Monat lang durch ganz Deutschland mit dem Zug fahren kann. Die Hartz-IV-Empfänger freuen sich sehr über diese Entscheidung.",Lediglich Harz-IV-Empfänger,Harz-IV-Empfänger,lediglich,lediglich,unexpected,5,"werden von dieser Maßnahme profitieren können, da sie mit dem 9-Euro-Ticket eine günstige Möglichkeit haben, innerhalb Deutschlands zu reisen und somit ihre Mobilität zu verbessern.",gpt-3.5-turbo-16k,1.0,2
5,2,high,EW,"Vor allem Hartz-IV-Empfänger leiden stark unter der Inflation und den extrem steigenden Nebenkosten. Das Bundesministerium hat angekündigt, der Bevölkerung entgegenkommen zu wollen. Eine der Maßnahmen ist das 9-Euro-Ticket, womit jeder für 9 Euro einen Monat lang durch ganz Deutschland mit dem Zug fahren kann. Die Hartz-IV-Empfänger freuen sich sehr über diese Entscheidung.",Ausgerechnet Harz-IV-Empfänger,Harz-IV-Empfänger,ausgerechnet,ausgerechnet,unexpected,6,", die bereits finanziell stark belastet sind, profitieren von der Einführung des 9-Euro-Tickets für Zugreisen durch ganz Deutschland.",gpt-3.5-turbo-16k,1.0,2
5,3,high,OH,"Vor allem Hartz-IV-Empfänger leiden stark unter der Inflation und den extrem steigenden Nebenkosten. Das Bundesministerium hat angekündigt, der Bevölkerung entgegenkommen zu wollen. Eine der Maßnahmen ist das 9-Euro-Ticket, womit jeder für 9 Euro einen Monat lang durch ganz Deutschland mit dem Zug fahren kann. Die Hartz-IV-Empfänger freuen sich sehr über diese Entscheidung.",Harz-IV-Empfänger,Harz-IV-Empfänger,ohne,ohne,unexpected,1,"insbesondere freuen sich über das 9-Euro-Ticket, da es ihnen ermöglicht, kostengünstig Reisen innerhalb Deutschlands zu unternehmen und so auch mal eine Auszeit vom Alltag zu nehmen.",gpt-3.5-turbo-16k,1.0,2
5,4,medium,RA,"Das Bundesministerium hat ein 9-Euro-Ticket eingeführt, womit jeder für 9 Euro einen Monat lang mit dem Zug durch ganz Deutschland fahren kann.",Lediglich Harz-IV-Empfänger,Harz-IV-Empfänger,lediglich,lediglich,unexpected,2,profitieren von dieser neuen Regelung.,gpt-3.5-turbo-16k,1.0,2
5,5,medium,EW,"Das Bundesministerium hat ein 9-Euro-Ticket eingeführt, womit jeder für 9 Euro einen Monat lang mit dem Zug durch ganz Deutschland fahren kann.",Ausgerechnet Harz-IV-Empfänger,Harz-IV-Empfänger,ausgerechnet,ausgerechnet,unexpected,3,"profitieren von dieser neuen Regelung und können sich nun über eine kostengünstige Möglichkeit freuen, um mobil zu sein und ihr soziales Leben zu bereichern.",gpt-3.5-turbo-16k,1.0,2
5,6,medium,OH,"Das Bundesministerium hat ein 9-Euro-Ticket eingeführt, womit jeder für 9 Euro einen Monat lang mit dem Zug durch ganz Deutschland fahren kann.",Harz-IV-Empfänger,Harz-IV-Empfänger,ohne,ohne,unexpected,4,"sind besonders von dieser neuen Regelung profitieren, da sie dadurch zu geringen Kosten die Möglichkeit haben, mobil zu sein und Deutschland zu erkunden.",gpt-3.5-turbo-16k,1.0,2
6,1,high,RA,"Nadja hat einen guten Job und hat ein gutes Gehalt. Sie kann jeden Monat sparen und zusätzlich feiern gehen. Nächste Woche hat sie einen Termin bei ihrer Bank, um eine Hypothek für ihr Traumhaus anzufragen.  ",Auch Nadja,Nadja,auch,auch,unexpected,6,"hat gut vorbereitet und sich über verschiedene Hypothekenoptionen informiert, um die beste Wahl für ihr Traumhaus zu treffen.",gpt-3.5-turbo-16k,1.0,2
6,2,high,EW,"Nadja hat einen guten Job und hat ein gutes Gehalt. Sie kann jeden Monat sparen und zusätzlich feiern gehen. Nächste Woche hat sie einen Termin bei ihrer Bank, um eine Hypothek für ihr Traumhaus anzufragen.  ",Ausgerechnet Nadja,Nadja,ausgerechnet,ausgerechnet,unexpected,1,ist finanziell gut aufgestellt und kann sich den Traum von einem eigenen Haus erfüllen.,gpt-3.5-turbo-16k,1.0,2
6,3,high,OH,"Nadja hat einen guten Job und hat ein gutes Gehalt. Sie kann jeden Monat sparen und zusätzlich feiern gehen. Nächste Woche hat sie einen Termin bei ihrer Bank, um eine Hypothek für ihr Traumhaus anzufragen.  ",Nadja,Nadja,ohne,ohne ,unexpected,2,"freut sich schon sehr auf ihr Treffen mit der Bank, um endlich den ersten Schritt für den Kauf ihres Traumhauses zu machen.",gpt-3.5-turbo-16k,1.0,2
6,4,medium,RA,"Nadja hat einen stabilen Job. Ihre Rechnungen werden zeitnah beglichen und insofern kann sie sich nicht beschweren. Nächste Woche hat sie einen Termin bei ihrer Bank, um eine Hypothek für ihr Traumhaus anzufragen.",Auch Nadja,Nadja,auch,auch,unexpected,3,"sieht die Zukunft mit Spannung und Vorfreude entgegen, da sie sich endlich den lang ersehnten Traum von den eigenen vier Wänden erfüllen kann.",gpt-3.5-turbo-16k,1.0,2
6,5,medium,EW,"Nadja hat einen stabilen Job. Ihre Rechnungen werden zeitnah beglichen und insofern kann sie sich nicht beschweren. Nächste Woche hat sie einen Termin bei ihrer Bank, um eine Hypothek für ihr Traumhaus anzufragen.  ",Ausgerechnet Nadja,Nadja,ausgerechnet,ausgerechnet,unexpected,4,", die bisher finanziell sehr solide gewesen ist, plant also nächste Woche, eine Hypothek für ihr Traumhaus bei ihrer Bank anzufragen.",gpt-3.5-turbo-16k,1.0,2
6,6,medium,OH,"Nadja hat einen stabilen Job. Ihre Rechnungen werden zeitnah beglichen und insofern kann sie sich nicht beschweren. Nächste Woche hat sie einen Termin bei ihrer Bank, um eine Hypothek für ihr Traumhaus anzufragen.  ",Nadja,Nadja,ohne,ohne ,unexpected,5," ist optimistisch, dass die Bank ihr die Hypothek bewilligen wird, da sie seit Jahren ein gutes Einkommen hat und über eine solide Kreditwürdigkeit verfügt.",gpt-3.5-turbo-16k,1.0,2
7,1,high,RA,Erhard wird heute viel zu spät bei der Arbeit erscheinen. Er hat verschlafen und keine Zeit gehabt zu frühstücken. Außerdem regnet es draußen. Erhard rennt schnell zu seinem Auto.,Sogar heute,heute ,sogar,sogar,unexpected and unfair,1,"hat es nicht aufgehört, Pech zu haben.",gpt-3.5-turbo-16k,1.0,2
7,2,high,EW,Erhard wird heute viel zu spät bei der Arbeit erscheinen. Er hat verschlafen und keine Zeit gehabt zu frühstücken. Außerdem regnet es draußen. Erhard rennt schnell zu seinem Auto.,Eben heute,heute ,eben,eben,unexpected  and unfair,2,passt wirklich alles schief.,gpt-3.5-turbo-16k,1.0,2
7,3,high,OH,Erhard wird heute viel zu spät bei der Arbeit erscheinen. Er hat verschlafen und keine Zeit gehabt zu frühstücken. Außerdem regnet es draußen. Erhard rennt schnell zu seinem Auto.,Heute,heute ,ohne,ohne,unexpected and unfair,3,ist wirklich kein guter Tag für Erhard.,gpt-3.5-turbo-16k,1.0,2
7,4,medium,RA,"Erhard hat gerade ein Bauernfrühstück verzehrt und schaut, bevor er zur Arbeit fährt, noch kurz die Tagesschau. Dann wird er seine Jacke anziehen und zum Auto laufen.",Sogar heute,heute ,sogar,sogar,unexpected,4,führt Erhard seine morgendliche Routine diszipliniert durch.,gpt-3.5-turbo-16k,1.0,2
7,5,medium,EW,"Erhard hat gerade ein Bauernfrühstück verzehrt und schaut, bevor er zur Arbeit fährt, noch kurz die Tagesschau. Dann wird er seine Jacke anziehen und zum Auto laufen.",Eben heute,heute ,eben,eben,unexpected,5,"muss Erhard besonders aufmerksam im Straßenverkehr sein, da angekündigt ist, dass es zu starken Unwettern kommen könnte.",gpt-3.5-turbo-16k,1.0,2
7,6,medium,OH,"Erhard hat gerade ein Bauernfrühstück verzehrt und schaut, bevor er zur Arbeit fährt, noch kurz die Tagesschau. Dann wird er seine Jacke anziehen und zum Auto laufen.",Heute,heute ,ohne,ohne,unexpected,6,"ist ein gesch忙ftiger Tag für Erhard, aber er f眉hlt sich bereit, die anstehenden Aufgaben zu bew盲ltigen.",gpt-3.5-turbo-16k,1.0,2
8,1,high,RA,Moritz ist gelernter Waffenmechaniker und Sportschütze. Er hat einen absolut sicheren Umgang mit Waffen. Heute wird bei der Arbeit eine Schießübung gemacht.,Auch Moritz,Moritz,auch ,auch,unexpected,2,zeigt sein Können und trifft zielsicher ins Schwarze.,gpt-3.5-turbo-16k,1.0,2
8,2,high,EW,Moritz ist gelernter Waffenmechaniker und Sportschütze. Er hat einen absolut sicheren Umgang mit Waffen. Heute wird bei der Arbeit eine Schießübung gemacht.,Ausgerechnet Moritz,Moritz,ausgerechnet,ausgerechnet,unexpected,3,", der Experte für Waffen und Schießtechnik, wird heute bei der Arbeit die Schießübung leiten und sein Können unter Beweis stellen.",gpt-3.5-turbo-16k,1.0,2
8,3,high,OH,Moritz ist gelernter Waffenmechaniker und Sportschütze. Er hat einen absolut sicheren Umgang mit Waffen. Heute wird bei der Arbeit eine Schießübung gemacht.,Moritz ,Moritz,ohne,ohne ,unexpected,4,überzeugt seine Kollegen mit seiner Präzision und Sicherheit beim Schießen.,gpt-3.5-turbo-16k,1.0,2
8,4,medium,RA,Moritz arbeitet schon längere Zeit bei der Polizei und übt gelegentlich mit Waffen. Heute wird bei der Arbeit eine Schießübung gemacht. ,Auch Moritz,Moritz,auch ,auch,unexpected,5,zeigt bei der Schießübung eine beeindruckende Treffsicherheit und überzeugt damit seine Kollegen.,gpt-3.5-turbo-16k,1.0,2
8,5,medium,EW,Moritz arbeitet schon längere Zeit bei der Polizei und übt gelegentlich mit Waffen. Heute wird bei der Arbeit eine Schießübung gemacht. ,Ausgerechnet Moritz,Moritz,ausgerechnet,ausgerechnet,unexpected,6,"ist an diesem Tag besonders aufgeregt und nervös, da er seit Monaten nicht mehr geschossen hat.",gpt-3.5-turbo-16k,1.0,2
8,6,medium,OH,Moritz arbeitet schon längere Zeit bei der Polizei und übt gelegentlich mit Waffen. Heute wird bei der Arbeit eine Schießübung gemacht. ,Moritz ,Moritz,ohne,ohne ,unexpected,1,zeigt eine beeindruckende Treffgenauigkeit und überzeugt seine Kollegen mit seinem professionellen Umgang mit der Waffe.,gpt-3.5-turbo-16k,1.0,2
9,1,high,RA,"Anna fliegt an Weihnachten nach Kuba. Sie hat bereits alles für den Urlaub erledigt und freut sich, dem Winter entfliehen zu können. ",Sogar einen Tag vor dem Abflug,einen Tag vor dem Abflug,sogar,sogar,unfair,3,"macht sie sich noch einmal eine Liste, um sicherzugehen, dass sie nichts wichtiges vergessen hat.",gpt-3.5-turbo-16k,1.0,2
9,2,high,EW,"Anna fliegt an Weihnachten nach Kuba. Sie hat bereits alles für den Urlaub erledigt und freut sich, dem Winter entfliehen zu können. ",Ausgerechnet einen Tag vor dem Abflug,einen Tag vor dem Abflug,ausgerechnet,ausgerechnet,unfair,4,"streikt plötzlich der Flughafenbetrieb aufgrund eines Gewitters und Anna befürchtet, dass ihr Flug gestrichen werden könnte.",gpt-3.5-turbo-16k,1.0,2
9,3,high,OH,"Anna fliegt an Weihnachten nach Kuba. Sie hat bereits alles für den Urlaub erledigt und freut sich, dem Winter entfliehen zu können. ",Einen Tag vor dem Abflug,einen Tag vor dem Abflug,ohne,ohne ,unfair,5,"packt sie ihre Koffer und überprüft noch einmal, ob sie auch alle wichtigen Dokumente eingepackt hat.",gpt-3.5-turbo-16k,1.0,2
9,4,medium,RA,Anna fliegt an Weihnachten nach Kuba. Ihr Flug ist am Morgen für 6:15 Uhr angesagt. ,Sogar einen Tag vor dem Abflug,einen Tag vor dem Abflug,sogar,sogar,unexpected,6,"hat Anna bereits angefangen, ihre Koffer zu packen und sicherzustellen, dass sie nichts Wichtiges vergessen hat.",gpt-3.5-turbo-16k,1.0,2
9,5,medium,EW,Anna fliegt an Weihnachten nach Kuba. Ihr Flug ist am Morgen für 6:15 Uhr angesagt. ,Ausgerechnet einen Tag vor dem Abflug,einen Tag vor dem Abflug,ausgerechnet,ausgerechnet,unexpected,1,", erfährt Anna, dass ihr Flug aufgrund eines Streiks der Fluglotsen gestrichen wurde.",gpt-3.5-turbo-16k,1.0,2
9,6,medium,OH,Anna fliegt an Weihnachten nach Kuba. Ihr Flug ist am Morgen für 6:15 Uhr angesagt. ,Einen Tag vor dem Abflug,einen Tag vor dem Abflug,ohne,ohne ,unexpected,2,"checkt Anna online ein, wählt ihren Sitzplatz aus und druckt ihre Bordkarte aus.",gpt-3.5-turbo-16k,1.0,2
10,1,high,RA,"Nina arbeitet schon 20 Jahre in der gleichen Firma. Sie liefert täglich eine Topleistung ab. Die Firma hat angekündigt, einige Mitarbeiter entlassen zu müssen.",Auch Nina,Nina ,auch,auch,unexpected and unfair,4,"muss nun um ihren Arbeitsplatz bangen, obwohl sie seit 20 Jahren täglich eine Topleistung abgeliefert hat.",gpt-3.5-turbo-16k,1.0,2
10,2,high,EW,"Nina arbeitet schon 20 Jahre in der gleichen Firma. Sie liefert täglich eine Topleistung ab. Die Firma hat angekündigt, einige Mitarbeiter entlassen zu müssen.",Ausgerechnet Nina,Nina ,ausgerechnet,ausgerechnet,unexpected and unfair,5,"wurde von der Firma als eine der Mitarbeiter ausgewählt, die entlassen werden müssen.",gpt-3.5-turbo-16k,1.0,2
10,3,high,OH,"Nina arbeitet schon 20 Jahre in der gleichen Firma. Sie liefert täglich eine Topleistung ab. Die Firma hat angekündigt, einige Mitarbeiter entlassen zu müssen.",Nina,Nina ,ohne,ohne,unexpected and unfair,6,"macht sich große Sorgen um ihre berufliche Zukunft, da sie befürchtet, selbst von den Entlassungen betroffen zu sein.",gpt-3.5-turbo-16k,1.0,2
10,4,medium,RA,"Nina arbeitet zusammen mit 30 anderen Kundenservicemitarbeitern für eine große Telefonie-Firma. Die Firma hat angekündigt, einige Mitarbeiter entlassen zu müssen. ",Auch Nina,Nina ,auch,auch,unexpected and unfair,1,muss sich nun Sorgen um ihren Arbeitsplatz machen.,gpt-3.5-turbo-16k,1.0,2
10,5,medium,EW,"Nina arbeitet zusammen mit 30 anderen Kundenservicemitarbeitern für eine große Telefonie-Firma. Die Firma hat angekündigt, einige Mitarbeiter entlassen zu müssen. ",Ausgerechnet Nina,Nina ,ausgerechnet,ausgerechnet,unexpected and unfair,2,", die erst vor einem Monat wieder in den Kundenservice zurückgekehrt war, nachdem sie ihre Mutterschutzzeit beendet hatte.",gpt-3.5-turbo-16k,1.0,2
10,6,medium,OH,"Nina arbeitet zusammen mit 30 anderen Kundenservicemitarbeitern für eine große Telefonie-Firma. Die Firma hat angekündigt, einige Mitarbeiter entlassen zu müssen. ",Nina,Nina ,ohne,ohne,unexpected and unfair,3,"ist besorgt um ihre Zukunft bei der Firma und plant, sich frühzeitig nach alternativen Arbeitsmöglichkeiten umzusehen.",gpt-3.5-turbo-16k,1.0,2
11,1,high,RA,Julia fährt jeden Morgen mit dem Fahrrad zur Arbeit. Am Dienstag hatte sie eine wichtige Besprechung mit einer potenziellen neuen Kundin.,Erst dann,dann,erst,erst,unexpected,5,"realisierte Julia, dass sie ihren Laptop zu Hause vergessen hatte. Sie musste schnell umkehren und ihn noch rechtzeitig holen, bevor die Besprechung begann.",gpt-3.5-turbo-16k,1.0,2
11,2,high,EW,Julia fährt jeden Morgen mit dem Fahrrad zur Arbeit. Am Dienstag hatte sie eine wichtige Besprechung mit einer potenziellen neuen Kundin.,Gerade dann,dann,gerade,gerade,unexpected,6,"Gerade dann bemerkte Julia, dass sie einen Platten am Vorderrad hatte.",gpt-3.5-turbo-16k,1.0,2
11,3,high,OH,Julia fährt jeden Morgen mit dem Fahrrad zur Arbeit. Am Dienstag hatte sie eine wichtige Besprechung mit einer potenziellen neuen Kundin.,Dann,dann,ohne,ohne ,unexpected,1,führte Julia die potenzielle neue Kundin durch das Büro und präsentierte ihr die verschiedenen Abteilungen und Teammitglieder.,gpt-3.5-turbo-16k,1.0,2
11,4,medium,RA,Julia fährt jeden Morgen mit dem Fahrrad zur Arbeit. Am Dienstag hatte sie eine Besprechung mit einer Kollegin. ,Erst dann,dann,erst,erst,unexpected,2,"...erfuhr Julia, dass ihre Kollegin ebenfalls gerne Fahrrad fährt und sie beschlossen, gemeinsam eine Fahrradtour am Wochenende zu machen.",gpt-3.5-turbo-16k,1.0,2
11,5,medium,EW,Julia fährt jeden Morgen mit dem Fahrrad zur Arbeit. Am Dienstag hatte sie eine Besprechung mit einer Kollegin. ,Gerade dann,dann,gerade,gerade,unexpected,3,kam es zu einem heftigen Regenschauer und Julia wurde komplett durchnässt.,gpt-3.5-turbo-16k,1.0,2
11,6,medium,OH,Julia fährt jeden Morgen mit dem Fahrrad zur Arbeit. Am Dienstag hatte sie eine Besprechung mit einer Kollegin. ,Dann,dann,ohne,ohne ,unexpected,4,"musste sie sich beeilen, um pünktlich im Büro zu sein.",gpt-3.5-turbo-16k,1.0,2
