Nummer,Liste,Item,Expectancy,Particle,Context,Start sentence,FortsetzungI,FortsetzungII,FortsetzungIII,FortsetzungIV
11,2,6,high,OH,"Nadja hat einen guten Job und hat ein gutes Gehalt. Sie kann jeden Monat sparen und zusätzlich feiern gehen. Nächste Woche hat sie einen Termin bei ihrer Bank, um eine Hypothek für ihr Traumhaus anzufragen. Nadja ist optimistisch, dass sie die Hypothek genehmigt bekommt und somit ihrem Traum vom eigenen Haus ein Stück näherkommt.",Nadja,freut sich.,ist aufgeregt.,ist sehr glücklich mit ihrem Leben.,möchte anfangen an ihrem Traumhaus zu arbeiten.
12,1,6,medium,OH,"Nadja hat einen stabilen Job. Ihre Rechnungen werden zeitnah beglichen und insofern kann sie sich nicht beschweren. Nächste Woche hat sie einen Termin bei ihrer Bank, um eine Hypothek für ihr Traumhaus anzufragen. Nadja freut sich schon sehr auf diesen Termin und hofft, dass sie die Finanzierung für ihr Traumhaus genehmigt bekommt.",Nadja,hat sich akribisch daraf vorbereitet.,freut sich auf ihr Traumhaus.,wartet sehensüchtig auf den Termin.,geht davon aus dass die bank zustimment wird
13,1,7,high,OH,Erhard wird heute viel zu spät bei der Arbeit erscheinen. Er hat verschlafen und keine Zeit gehabt zu frühstücken. Außerdem regnet es draußen. Erhard rennt schnell zu seinem Auto. Heute ist wirklich ein chaotischer Morgen für Erhard.,Heute,geht wirklich alles schief.,ist nicht sein Tag.,kommt er viel zu spät,
14,2,7,medium,OH,"Erhard hat gerade ein Bauernfrühstück verzehrt und schaut, bevor er zur Arbeit fährt, noch kurz die Tagesschau. Dann wird er seine Jacke anziehen und zum Auto laufen. Heute ist ein kühler Herbsttag, und Erhard genießt es, sich in seine warme Jacke zu hüllen, bevor er zum Auto geht.",Heute,"ruft ihn jedoch seine Mutter an und er muss in der Arbeit anrufen, ob er den Tag frei bekommt.","ist für Erhard ein besonderer Tag, da er befördert werden soll.",wird ein recht langer Arbeitstag für ihn.,freut er sich auf seine Arbeit.
15,2,8,high,OH,"Moritz ist gelernter Waffenmechaniker und Sportschütze. Er hat einen absolut sicheren Umgang mit Waffen. Heute wird bei der Arbeit eine Schießübung gemacht. Moritz zeigt seinen Kollegen, wie man eine Waffe richtig handhabt und sorgt für die Einhaltung aller Sicherheitsvorkehrungen bei der Schießübung.",Moritz,schließt sie erfolgreich ab.,erschießt einen Kollegen.,hat zum Glück nichts getrunken.,beeindruckt alle mit seinen Fähigkeiten.
16,1,8,medium,OH,Moritz arbeitet schon längere Zeit bei der Polizei und übt gelegentlich mit Waffen. Heute wird bei der Arbeit eine Schießübung gemacht. Moritz fühlt sich gut vorbereitet und konzentriert sich auf seine Zielgenauigkeit.,Moritz,macht diese Übung wie immer viel Spaß.,"ist nervös, spürt aber auch eine gewisse Vorfreude.","ist, dank seines Training, in den Top 5 des gesamten Bezirkes.","freut sich sehr darauf, da er ein guter Schütze geworden ist."
17,1,9,high,OH,"Anna fliegt an Weihnachten nach Kuba. Sie hat bereits alles für den Urlaub erledigt und freut sich, dem Winter entfliehen zu können. Einen Tag vor dem Abflug packt Anna ihre Koffer und überprüft noch einmal, ob sie alles Notwendige eingepackt hat.",Einen Tag vor dem Abflug,wird der Flug gestrichen.,hält es Anna vor Vorfreude kaum noch aus.,bekommt sie eine Grippe.,bricht sie sich das bein
18,2,9,medium,OH,Anna fliegt an Weihnachten nach Kuba. Ihr Flug ist am Morgen für 6:15 Uhr angesagt. Einen Tag vor dem Abflug packt Anna ihre Koffer sorgfältig und checkt online für den Flug nach Kuba ein.,Einen Tag vor dem Abflug,packt sie ihren Koffer.,packt sie voller Vorfreude ihre Sachen.,packt sie ihren Koffer.,kann sie kaum schlafen.
19,2,10,high,OH,"Nina arbeitet schon 20 Jahre in der gleichen Firma. Sie liefert täglich eine Topleistung ab. Die Firma hat angekündigt, einige Mitarbeiter entlassen zu müssen. Nina macht sich große Sorgen, ob sie von den Entlassungen betroffen sein könnte, obwohl sie schon so lange für die Firma arbeitet und immer gute Leistungen erbracht hat.",Nina,"ist nervös, da sie eine der höchstbezahlten Stellen besetzt.","hat aber keine Angst, dass sie eine von den Entlassenen werden wird.",wird davon aber verschont.,"hofft, dass Sie nicht zu denen gehört, die entlassen werden müssen."
20,1,10,medium,OH,"Nina arbeitet zusammen mit 30 anderen Kundenservicemitarbeitern für eine große Telefonie-Firma. Die Firma hat angekündigt, einige Mitarbeiter entlassen zu müssen. Nina macht sich Sorgen um ihren Arbeitsplatz und die Zukunft ihrer Kollegen.",Nina,bangt nun um ihren Lebensunterhalt.,wird ebenso entlassen.,hofft es wird nicht sie betreffen.,ist keine von ihnen.
21,1,11,high,OH,"Julia fährt jeden Morgen mit dem Fahrrad zur Arbeit. Am Dienstag hatte sie eine wichtige Besprechung mit einer potenziellen neuen Kundin. Dann entschied Julia sich, besonders früh aufzustehen, um nochmals ihre Präsentation zu überarbeiten und sich optimal vorzubereiten.",Dann,"wird sich zeigen, ob die Kundin auch Julia einen Auftrag vergibt.",nimmt sie doch lieber das Auto.,hatte sie ausgerchnet am Dienstag auf dem Weg zur Arbeit einen Platten und musste ein Taxi rufen um rechtzeitig im Büro anzukommen.,
22,2,11,medium,OH,"Julia fährt jeden Morgen mit dem Fahrrad zur Arbeit. Am Dienstag hatte sie eine Besprechung mit einer Kollegin. Dann entschied sich Julia, nach der Arbeit noch einen kleinen Umweg zu machen und an einem nahegelegenen See vorbeizufahren, um den Sonnenuntergang zu genießen.",Dann,fuhr sie wieder heim.,fährt sie nach Hause.,ging sie noch mit ihr zum Mittagessen.,
23,2,12,high,OH,"Lisa hat eine chronische Krankheit, die ihre Leistungsfähigkeit bei der Arbeit stark beeinträchtigt. Ihr Arbeitgeber hat sie nun zum Evaluationsgespräch eingeladen. Lisa Lisa sollte sich auf das Gespräch gut vorbereiten, indem sie alle relevanten Informationen über ihre Krankheit und die Auswirkungen auf ihre Arbeit sammelt.",Lisa,ist sehr aufgeregt.,ist aufgeregt.,hat Angst vor dem Gespräch.,hofft Verständnis von ihrem Arbeitgeber zu erhalten.
24,1,12,medium,OH,"Lisa hat eine chronische Krankheit, die ihre Leistungsfähigkeit bei der Arbeit aber nicht beeinträchtigt. Morgen hat sie das jährliche Evaluationsgespräch mit ihrem Arbeitgeber. Lisa plant, während des Gesprächs offen und ehrlich über ihre Krankheit zu sprechen, um mögliche Unterstützungsmaßnahmen am Arbeitsplatz zu besprechen.",Lisa,ist daher etwas nervös.,"steht unter Anspannung, ob alles gut gehen wird.",ist gespannt.,ist nervöß entlassen zu werden
25,1,13,high,OH,"Topsportler Jonas kümmert sich sehr um seine Gesundheit: er isst jeden Tag viel Obst und Gemüse und trainiert mehrmals wöchentlich. Letzte Woche hatte er seine jährliche betriebsärztliche Untersuchung. Jonas war erleichtert, als die Untersuchung bestätigte, dass er topfit und gesund ist.",Jonas,ist kerngesund.,sollte mehr Proteine zu sich nehmen.,geht nicht sonderlich gerne dorthin.,ist kerngesund.
26,2,13,medium,OH,"Jonas treibt gelegentlich Sport und ernährt sich überwiegend gesund. Letzte Woche hatte er seine jährliche betriebsärztliche Untersuchung. Jonas hat bei der Untersuchung erfahren, dass sein Blutdruck und Cholesterinspiegel im normalen Bereich liegen.",Jonas,besteht diese mit Bravour.,ist mit dem Ergebnis zufrieden.,wartet nun ganz nervoes auf die Resultate der Untersuchung.,ist zu 100 Prozent gesund und muss gesundheitlich keine Sorgen haben.
27,2,14,high,OH,"Kevin ist seit 2001 Koch in einem beliebten Restaurant in Berlin. Täglich bereitet er mit viel Liebe die leckersten Gerichte für seine Gäste zu. Am Donnerstag kommt ein Inspektor für eine eventuelle Michelin-Stern-Vergabe vorbei. An diesem Tag ist Kevin besonders nervös und sorgt dafür, dass jede Speise perfekt zubereitet und ansprechend präsentiert wird.",An diesem Tag,ist Kevin ganz besonders aufgeregt.,hat Kevin starke Migräne.,will er sich besonders Mühe geben.,bekommt das restaurant keine frishce Fischlieferung da der Lieferant im Krankenhaus liegt
28,1,14,medium,OH,Kevin ist Koch in einem Restaurant in Berlin. Am Donnerstag gibt es eine Inspektion für eine eventuelle Michelin-Stern-Vergabe. An diesem Tag ist Kevin besonders aufgeregt und bereitet alle Gerichte sorgfältig und mit extra Liebe zum Detail zu.,An diesem Tag,soll vegan gekocht werden.,läuft alles super.,wird er sich besonders bemühen.,musste in sowohl der Küche als auch dem Restaurant alles perfekt ablaufen.
29,1,15,high,OH,"Max geht wöchentlich mit seinem Hund in die Hundeschule. Seit dem Welpenalter arbeitet Max zusammen mit dem Hund an guter Gehorsamkeit und Teambuilding. Kurz vor Weihnachten stand eine wichtige Prüfung an. Dann Dann übten Max und sein Hund jeden Tag intensiv, um sicherzustellen, dass sie optimal vorbereitet waren.",Dann,trainierten Max und sein Hund täglich.,wurde der Hund leider krank.,"galt es besonders gut abzuschneiden, waren doch seine Eltern an der Prüfung anwesend.",
30,2,15,medium,OH,"Max geht gelegentlich mit seinem Hund in die Hundeschule. Kurz vor Weihnachten stand eine Prüfung an. Dann Dann übte Max mit seinem Hund fleißig die verschiedenen Kommandos und Tricks, um gut auf die Prüfung vorbereitet zu sein.",Dann,darf er seinen Hund endlich ohne Maulkorb spazieren führen.,starb der Hund unerwartet.,hat Max mehr Sicherheit im Umgang mit seinem Hund.,
31,2,16,high,OH,"Der Wetterdienst hat seit 10 Jahren eine sehr hohe Präzision. Laut dem Wetterbericht soll es diese Woche heftig schneien. Diese Woche ...sollten Sie sich auf winterliches Wetter einstellen und sicherstellen, dass Sie auf glatten Straßen vorsichtig fahren.",Diese Woche,schneit es jeden Tag.,wird es wohl heftig schneien.,schien dann aber stattdessen die ganze Woche die Sonne.,"aber, hat es überhaupt nicht geschneit."
32,1,16,medium,OH,Der Wetterdienst hat in den letzten Jahren überwiegend zuverlässige Wettervorhersagen gemacht. Laut dem Wetterbericht soll es diese Woche heftig schneien. Diese Woche sollte man also rechtzeitig Winterreifen aufziehen und sich auf glatte Straßen einstellen.,Diese Woche,wird außerdem sehr kalt.,fallen 50cm Schnee.,,
33,1,17,high,OH,"Schon seit sie ein Kind war, sammelt Nora Münzen. Sie hat sehr viel Erfahrung und erkennt sehr wertvolle Exemplare sofort. Gestern brachte ihr ein befreundeter Sammler eine angeblich seltene Münze. Diese Münze entpuppte sich jedoch als Fälschung, da Nora sofort die Unstimmigkeiten und Fehler in der Prägung erkannte.",Diese Münze,ist jedoch fake.,war aus einem alten Piratenschatz.,ist allerdings garnicht so selten.,hatte Nora jedoch schon häufiger gesehen.
34,2,17,medium,OH,"Nora sammelt schon länger Münzen. Die Erfahrung, die sie gesammelt hat, hilft ihr dabei, öfters sehr wertvolle Exemplare zu erkennen. Gestern brachte ihr ein befreundeter Sammler eine angeblich seltene Münze. Diese Münze entpuppte sich jedoch als Fälschung, was Nora sofort erkannte.",Diese Münze,war aber alles andere als selten.,ist ein Jahrhundertfund.,war leider nicht selten.,war eine Fälschung
35,2,18,high,OH,"Christian hat noch nie Golf gespielt. All seine engsten Freunde spielen aber bereits seit über 10 Jahren Golf. Sie haben ihn eingeladen, bei einem Turnier mitzumachen. Christian war zunächst unsicher, ob er am Golfturnier teilnehmen sollte, entschied sich aber letztendlich dazu, die Herausforderung anzunehmen und sein Glück zu versuchen.",Christian,hat dankend abgelehnt.,wird Letzter.,hat Angst davor.,hat keine Lust.
36,1,18,medium,OH,"Christian wurde von seinen Freunden eingeladen, mit ihnen zusammen Golf zu spielen. Er kennt seine Kumpel schon über 10 Jahre und freut sich auf das Spiel. Christian war schon lange nicht mehr beim Golfen, aber er freute sich darauf, gemeinsam mit seinen Freunden wieder auf dem Platz zu stehen und eine tolle Zeit zu verbringen.",Christian,"hofft, sich auf dem Golfplatz nicht allzu schlecht anzustellen.",hatte vorher noch nie Golf gespielt.,ist ein mittelmäßig guter Golfspieler.,ist ein begnadeter Golfer.
37,1,19,high,OH,"Der Kinderchor singt normalerweise an Weihnachten ausschließlich klassische Weihnachtslieder. Der Chor will diese Tradition auf keinen Fall ändern. Allerdings entscheidet der Chorvorsitzende über das jährliche Programm. Dieses Jahr wird der Chorvorsitzende vermutlich wieder eine Auswahl traditioneller Weihnachtslieder treffen, um die langjährige Tradition des Kinderchors fortzuführen.",Dieses Jahr,werden auch neuere Lieder gesungen.,spielen sie John Lennon und Mariah Carrey.,hat er etwas komisches geplant.,will der Chorvorsitzende ein neues Programm aufstellen.
38,2,19,medium,OH,"Christian wurde von seinen Freunden eingeladen, mit ihnen zusammen Golf zu spielen. Er kennt seine Kumpel schon über 10 Jahre und freut sich auf das Spiel. Christian war schon lange nicht mehr beim Golfen, aber er freute sich darauf, gemeinsam mit seinen Freunden wieder auf dem Platz zu stehen und eine tolle Zeit zu verbringen.",Dieses Jahr,trällern sie jedoch wieder die gleichen Melodien.,soll es rockiger werden.,wird es deswegen wahrscheinlich viele vorweihnachtliche Diskussionen geben.,darf der Chor nun auch eigene Ideen einbringen.
39,2,20,high,OH,"Ruth spielt erst seit 6 Monaten Handball. Am Sonntag hatte sie ihr erstes Spiel. Die meisten anderen Spielerinnen spielen bereits seit dem Kindesalter Handball. Ruth möchte trotzdem weiterhin hart trainieren und ihr Bestes geben, um sich in ihrem Team zu etablieren und ihre Fähigkeiten zu verbessern.",Ruth,hatte einige Sorgen wegen des Spiels.,ist die beste in der Mannschaft.,konnte problemlos mitspielen.,ist sehr nervös das team nicht zu enttäuschen
40,1,20,medium,OH,"Ruth spielt Handball beim örtlichen Verein. Am Sonntag hatte ihr Team das erste Spiel der Saison. Alle Spielerinnen haben sich unheimlich auf das Spiel gefreut. Ruth Ruth war besonders aufgeregt, weil sie nach einer langen Verletzungspause endlich wieder auf dem Spielfeld stehen konnte.",Ruth,hat hierfür einen Kuchen gebacken.,hat alles gegeben und sie haben gewonnen. ,hatte sehr viel Spaß.,"war sehr aufgeregt, ist jedoch trotzdem mit viel Ehrgeiz in das erste Spiel der Saison gestartet. "
41,1,21,high,OH,"Janina geht heute Abend mit ihrem Vater ins Theater. Jedes Mal, als die Aufführung aufgrund der Pandemie verschoben wurde, hat sie viel geheult. Ihr Vater hat sie jedes Mal beruhigen müssen und hofft nun, dass das Stück heute endlich stattfindet. Heute hält Janina gespannt ihr Ticket in der Hand und hofft, dass das Stück endlich wie geplant aufgeführt wird.",Heute,hat Janina Glück und sie können die Vorstellung besuchen.,sind die Pandemie-regeln nicht mehr so strikt.,muss er sie jedoch wieder enttäuschen.,"werden die Augen trocken bleiben, denn bis jetzt ist keine Verschiebung vorgesehen"
42,2,21,medium,OH,"Janina geht heute Abend mit ihrem Vater ins Theater. Die Aufführung ist aufgrund der Pandemie mehrmals verschoben worden. Nach zwei Jahren ist es dann heute endlich soweit! Heute ist es endlich soweit, dass Janina und ihr Vater nach all den Verschiebungen und Wartezeiten gemeinsam ins Theater gehen können, um die lang ersehnte Aufführung zu genießen.",Heute,kann sie endlich das Theaterstück genießen.,hat sie ihre Freiheit wiedererhalten. macht keinen Sinn,,
43,2,22,high,OH,"Lea ist bereits über 20 Jahre mit Hendrik verheiratet. Jedes Wochenende bringt er ihr sehr zuverlässig Blumen mit. Dieses Wochenende überraschte er sie jedoch mit einem Strauß ihrer Lieblingsblumen und einem selbstgebackenen Kuchen.",Dieses Wochenende,hat er ihr auch wieder Blumen mitgebracht.,hat er es aber vergessen und möchte die Scheidung.,"ist das erste Mal, dass die Vase im Wohnzimmer leer bleibt.","aber, hat Hendrik keine Blumen dabei."
44,1,22,medium,OH,"Lea und Hendrik sind bereits länger zusammen. Hendrik nimmt öfter am Wochenende mal Blumen für Lea mit. Er möchte ihr zeigen, wieviel sie ihm bedeutet. Dieses Wochenende plant Hendrik, Lea mit einem Überraschungsausflug zu verwöhnen.",Dieses Wochenende,bringt er einen Strauß Tulpen.,hat er keine dabei.,hat er die Blumen vergessen.,führt er sie schick aus.
45,1,23,high,OH,"Emmas Herzenswunsch wird erfüllt: 40 Jahre nachdem sie aufgehört haben, kommt ABBA nun mit neuer Musik und mit einem Konzert zurück! Gestern hat sie ihren Urlaubsantrag für das Konzert eingereicht. Jetzt kann Emma es kaum erwarten, endlich ihre Lieblingsband live zu erleben und all ihre Hits noch einmal zu hören.",Jetzt,hängt alles an ihrem Chef.,wurde er bewilligt!,kann sie ABBA endlich live erleben.,muss dieser nur noch genehmigt werden. 
46,2,23,medium,OH,"Emma hat Tickets zum beliebten ABBA-konzert geschenkt bekommen und freut sich bereits auf die Reise. Gestern hat sie ihren Urlaubsantrag für das Konzert eingereicht. Jetzt hält sie gespannt Ausschau nach der Genehmigung ihres Urlaubsantrags, damit sie ihre Reise zum ABBA-Konzert planen kann.",Jetzt,wartet sie nur noch auf das Okay von ihrem Chef.,kann sie es kaum noch abwarten.,heißt es nur noch abwarten.,hört sie nur noch Abba Lieder zur Einstimmung
47,2,24,high,OH,"Marco hat sich via Tinder in Robert verliebt. Auf seinem Tinderprofil gibt er an eine seriöse Beziehung zu suchen. Sie schreiben sich täglich. Robert ist nicht nur witzig und clever, sondern auch stinkreich. Sie vereinbaren ein Treffen. Robert entpuppt sich als noch charmanter und faszinierender im echten Leben. Marco ist überwältigt von seiner Ausstrahlung und beginnt sich ernsthaft zu fragen, ob dies wirklich die große Liebe sein könnte.",Robert,freut sich schon auf das Treffen mit Marco.,war aber ein Fake Profil.,nutzt Marco wahrscheinlich aus.,kommt etwas zu spät zum Treffen.
48,1,24,medium,OH,"Marco sucht seine große Liebe via Tinder. Er schaut täglich nach ob er jemanden sieht, der ihm gefällt. Ein Herr mit dem Namen Robert sieht nicht nur hübsch aus, sondern ist auch witzig und clever. Sie vereinbaren ein Treffen. Robert ist genauso charmant und interessant wie in seinen Nachrichten. Marco freut sich darauf, mehr Zeit mit ihm zu verbringen und herauszufinden, ob sich aus ihrem Treffen etwas Besonderes entwickeln könnte.",Robert,übertrifft Marcos Erwartungen und sie vereinbaren ein zweites Treffen.,findet Marco auch sehr interresant und kann das Treffen kaum abwarten.,hofft das Beste.,ist wie Marco bisexuell.
49,1,25,high,OH,"Simon bewirbt sich auf eine Stelle als Zugführer. Er hat eine lange Ausbildung hinter sich und bei verschiedenen Praktika viel Erfahrung sammeln können. Auf die Stelle bewerben sich allerdings über 30 qualifizierte Kandidaten. Simon ist optimistisch und überzeugt, dass er mit seiner Fachkompetenz und seiner Leidenschaft für den Beruf als Zugführer aus der Masse herausstechen kann.",Simon,ist unter den Auserwählten für ein Bewerbungsgespräch.,bekommt die Stelle.,wurde deshalb nicht angenommen.,kann dennoch beim Arbeitgeber punkten.
50,2,25,medium,OH,"Simon hat sein Studium abgeschlossen, aber findet momentan nur schwer Arbeit. Aus dem Grund bewirbt er sich auf eine Stelle als Zugführer. Er müsste dann zwar noch als Quereinsteiger eine verkürzte Ausbildung machen, aber das stört ihn nicht. Simon ist bereit, neue Wege zu gehen und sich beruflich weiterzuentwickeln.",Simon,nimmt die Stelle als Zugführer nach einiger Überlegung an.,hat richtig Lust darauf und ist motiviert.,"hat sich schon immer sehr fuer Zuege interessiert und glaubt, dass ihm der Job Spass machen wird.",ist sehr motiviert und freut sich auf die Ausbildung.
51,2,26,high,OH,"Liana hat unglaublich viele Schulden und einige Kredite bei verschiedenen Instanzen. Sie hat keinen Job und weiß nicht, wie sie aus dieser Situation rauskommen soll. Liana muss dringend eine Budgetplanung erstellen und alle ihre Ausgaben überprüfen, um einen Überblick über ihre finanzielle Situation zu bekommen.",Liana,will sich daher beraten lassen.,hat Existenzängste.,kennt keinen Ausweg mehr.,ist verzweifelt aber kauft weiterhin unnütze Sachen
52,1,26,medium,OH,"Liana hat zur Zeit nicht viel Geld auf dem Konto und musste schon mehrmals Treffen mit Freunden aufgrund von Geldmangel absagen. Liana sollte offen mit ihren Freunden über ihre finanzielle Situation sprechen, damit sie Verständnis zeigen können.",Liana,ist arbeitslos.,ist sehr traurig deswegen.,hat deswegen ein schlechtes Gewissen.,"wäre es peinlich, ihren Freunden von ihrer Finanziellen-Situation zu erzählen."
53,1,27,high,OH,"Frau Eberle ist 88 und bei guter Gesundheit. Sie ist der Meinung, dass sie trotz Augenproblemen immer noch Auto fahren kann. Am Freitag hat sie vor, Ihre Tochter in Hamburg zu besuchen. An dem Tag An dem Tag wird Frau Eberle wie geplant ihre Tochter in Hamburg besuchen, obwohl ihre Augenprobleme sie nicht davon abhalten, immer noch Auto zu fahren.",An dem Tag,"gewittert es jedoch, sodass sie beschließt, zuhause zu bleiben.",der Abfahrt wacht sie mit einem nebligen Blick auf.,"vor ihrem Hamburgtrip, hat sie jedoch einen Unfall, der sie davon ueberzeugt ihren Fuehrerschein abzugeben.","wurden ihre Augenprobleme aber so schlimm, dass sie entschied, mit dem Zug zu gehen."
54,2,27,medium,OH,"Frau Eberle ist 88 und bei guter Gesundheit. Morgens kommt eine Pflegehilfe, um ihr ihre Stützstrümpfe anzuziehen, aber weiter kann sie alles noch allein. Am Freitag hat sie vor, Ihre Tochter in Hamburg zu besuchen. An dem Tag An dem Tag wird Frau Eberle früh aufstehen, sich fertig machen und ihre Tasche packen, um pünktlich den Zug nach Hamburg zu erreichen.",An dem Tag,hat ihre Tochter nämlich frei.,"rutschen ihre Strümpfe runter, nachdem die Pflegehilfe wieder weg ist.",hat ihre Tochter nämlich Geburtstag.,wollen sie zusammen in den Zoo.
55,2,28,high,OH,"Dieter darf nächstes Jahr in Rente gehen. Sein Leben lang hat er gearbeitet. Er freut sich bereits auf viel Lesen, Wandern und vor allem Malen. Gesundheitliche Sorgen hat er derzeit keine. Er plant, endlich die Zeit zu genießen und all die Dinge zu tun, für die er früher nie die Ruhe hatte.",Er,möchte eine Weltreise machen.,ist sehr zufrieden.,ist sehr glücklich darüber.,freut sich auf seinen wohlverdienten Renteneinstieg. 
56,1,28,medium,OH,"Dieter darf nächstes Jahr in Rente gehen. Sein Leben lang hat er gearbeitet. Er freut sich bereits auf viel Lesen, Wandern und vor allem Malen. Er freut sich darauf, endlich mehr Zeit für seine Hobbys zu haben und sich kreativ ausleben zu können.",Er,malt sehr gerne in seiner Freizeit.,freut sich auf den Ruhestand.,ist sehr gut darauf vorbereitet.,hat die ersten Wanderungen bereits geplannt
