Item,Condition,Expectancy,Particle,Context,Start sentence,R-Expression,Particle used,Original particle,unexpected  and unfair,list,generation,model,temperature,seed
2,5,medium,EW,"Eva und Richard sind schon seit mehreren Jahren nicht mehr zusammen. Eva hat inzwischen einen neuen Freund, Paul, und auch Richard ist schon länger wieder in einer Beziehung. ",Ausgerechnet heute,heute ,ausgerechnet,ausgerechnet,unexpected,6,begegnen sich Eva und Richard zufällig wieder.,gpt-5.2-chat-latest,1.0,1
2,6,medium,OH,"Eva und Richard sind schon seit mehreren Jahren nicht mehr zusammen. Eva hat inzwischen einen neuen Freund, Paul, und auch Richard ist schon länger wieder in einer Beziehung. ",Heute,heute ,ohne,ohne,unexpected,1,Heute begegnen sich Eva und Richard nur noch selten und haben kaum Kontakt.,gpt-5.2-chat-latest,1.0,1
3,1,high,RA,"Tim liebt seinen neuen Volvo. Jeden Sonntag steht er extra früh auf, um sein Auto noch vor der neuen Arbeitswoche zu waschen. ",Nur Tims Volvo,Tims Volvo,nur,nur,unexpected  and unfair,3,wird jeden Sonntag früh gewaschen.,gpt-5.2-chat-latest,1.0,1
3,2,high,EW,"Tim liebt seinen neuen Volvo. Jeden Sonntag steht er extra früh auf, um sein Auto noch vor der neuen Arbeitswoche zu waschen. ",Ausgerechnet Tims Volvo,Tims Volvo,ausgerechnet,ausgerechnet,unexpected  and unfair,4,Ausgerechnet Tims Volvo wurde dann von einem Vogelschwarm frisch eingesaut.,gpt-5.2-chat-latest,1.0,1
3,3,high,OH,"Tim liebt seinen neuen Volvo. Jeden Sonntag steht er extra früh auf, um sein Auto noch vor der neuen Arbeitswoche zu waschen. ",Tims Volvo,Tims Volvo,ohne,ohne,unexpected  and unfair,5,Tims Volvo ist ihm sehr wichtig.,gpt-5.2-chat-latest,1.0,1
3,4,medium,RA,"Tim hat einen neuen Volvo gekauft, weil der Kia, den er davor hatte, nicht genug Platz hatte für seine vier Kinder. ",Nur Tims Volvo,Tims Volvo,nur,nur,unexpected  and unfair,6,Nur Tims Volvo hat genug Platz für seine vier Kinder.,gpt-5.2-chat-latest,1.0,1
3,5,medium,EW,"Tim hat einen neuen Volvo gekauft, weil der Kia, den er davor hatte, nicht genug Platz hatte für seine vier Kinder. ",Ausgerechnet Tims Volvo,Tims Volvo,ausgerechnet,ausgerechnet,unexpected  and unfair,1,Ausgerechnet Tims Volvo hat jetzt ständig eine Panne.,gpt-5.2-chat-latest,1.0,1
3,6,medium,OH,"Tim hat einen neuen Volvo gekauft, weil der Kia, den er davor hatte, nicht genug Platz hatte für seine vier Kinder. ",Tims Volvo ,Tims Volvo,ohne,ohne,unexpected  and unfair,2,Tims Volvo bietet nun genug Platz für seine vier Kinder.,gpt-5.2-chat-latest,1.0,1
4,1,high,RA,Chefarzt Neugebauer arbeitet seit 1980 als Herzchirurg im Krankenhaus von Mannheim. Durch seine jahrelange Erfahrung ist er sehr beliebt unter Kollegen und Patienten. Gestern kam die Ethik-Kommission zur jährlichen Kontrolle vorbei.,Nur Chefarzt Neugebauer,Chefarzt Neugebauer,nur,nur,unexpected,4,Nur Chefarzt Neugebauer war bei der Kontrolle anwesend.,gpt-5.2-chat-latest,1.0,1
4,2,high,EW,Chefarzt Neugebauer arbeitet seit 1980 als Herzchirurg im Krankenhaus von Mannheim. Durch seine jahrelange Erfahrung ist er sehr beliebt unter Kollegen und Patienten. Gestern kam die Ethik-Kommission zur jährlichen Kontrolle vorbei.,Gerade Chefarzt Neugebauer,Chefarzt Neugebauer,gerade,gerade,unexpected,5,Gerade Chefarzt Neugebauer stand dabei im besonderen Fokus der Kontrolle.,gpt-5.2-chat-latest,1.0,1
4,3,high,OH,Chefarzt Neugebauer arbeitet seit 1980 als Herzchirurg im Krankenhaus von Mannheim. Durch seine jahrelange Erfahrung ist er sehr beliebt unter Kollegen und Patienten. Gestern kam die Ethik-Kommission zur jährlichen Kontrolle vorbei.,Chefarzt Neugebauer,Chefarzt Neugebauer,ohne,ohne ,unexpected,6,ist ein erfahrener und bei Kollegen wie Patienten geschätzter Herzchirurg.,gpt-5.2-chat-latest,1.0,1
4,4,medium,RA,Chefarzt Neugebauer arbeitet seit 1980 als Herzchirurg im Krankenhaus von Mannheim. Gestern kam die Ethik-Kommission zur jährlichen Kontrolle vorbei.,Nur Chefarzt Neugebauer,Chefarzt Neugebauer,nur,nur,unexpected,1,nahm an der Kontrolle teil.,gpt-5.2-chat-latest,1.0,1
4,5,medium,EW,Chefarzt Neugebauer arbeitet seit 1980 als Herzchirurg im Krankenhaus von Mannheim. Gestern kam die Ethik-Kommission zur jährlichen Kontrolle vorbei.,Gerade Chefarzt Neugebauer,Chefarzt Neugebauer,gerade,gerade,unexpected,2,Gerade Chefarzt Neugebauer musste sich dabei besonders kritischen Fragen stellen.,gpt-5.2-chat-latest,1.0,1
4,6,medium,OH,Chefarzt Neugebauer arbeitet seit 1980 als Herzchirurg im Krankenhaus von Mannheim. Gestern kam die Ethik-Kommission zur jährlichen Kontrolle vorbei.,Chefarzt Neugebauer,Chefarzt Neugebauer,ohne,ohne ,unexpected,3,begrüßte die Kommission freundlich und führte sie durch die Station.,gpt-5.2-chat-latest,1.0,1
5,1,high,RA,"Vor allem Hartz-IV-Empfänger leiden stark unter der Inflation und den extrem steigenden Nebenkosten. Das Bundesministerium hat angekündigt, der Bevölkerung entgegenkommen zu wollen. Eine der Maßnahmen ist das 9-Euro-Ticket, womit jeder für 9 Euro einen Monat lang durch ganz Deutschland mit dem Zug fahren kann. Die Hartz-IV-Empfänger freuen sich sehr über diese Entscheidung.",Lediglich Harz-IV-Empfänger,Harz-IV-Empfänger,lediglich,lediglich,unexpected,5,profitieren besonders von dem günstigen Ticket und der finanziellen Entlastung.,gpt-5.2-chat-latest,1.0,1
5,2,high,EW,"Vor allem Hartz-IV-Empfänger leiden stark unter der Inflation und den extrem steigenden Nebenkosten. Das Bundesministerium hat angekündigt, der Bevölkerung entgegenkommen zu wollen. Eine der Maßnahmen ist das 9-Euro-Ticket, womit jeder für 9 Euro einen Monat lang durch ganz Deutschland mit dem Zug fahren kann. Die Hartz-IV-Empfänger freuen sich sehr über diese Entscheidung.",Ausgerechnet Harz-IV-Empfänger,Harz-IV-Empfänger,ausgerechnet,ausgerechnet,unexpected,6,profitieren besonders von dem günstigen Angebot und gewinnen dadurch mehr Mobilität im Alltag.,gpt-5.2-chat-latest,1.0,1
5,3,high,OH,"Vor allem Hartz-IV-Empfänger leiden stark unter der Inflation und den extrem steigenden Nebenkosten. Das Bundesministerium hat angekündigt, der Bevölkerung entgegenkommen zu wollen. Eine der Maßnahmen ist das 9-Euro-Ticket, womit jeder für 9 Euro einen Monat lang durch ganz Deutschland mit dem Zug fahren kann. Die Hartz-IV-Empfänger freuen sich sehr über diese Entscheidung.",Harz-IV-Empfänger,Harz-IV-Empfänger,ohne,ohne,unexpected,1,Harz-IV-Empfänger profitieren dadurch von mehr Mobilität und finanzieller Entlastung im Alltag.,gpt-5.2-chat-latest,1.0,1
5,4,medium,RA,"Das Bundesministerium hat ein 9-Euro-Ticket eingeführt, womit jeder für 9 Euro einen Monat lang mit dem Zug durch ganz Deutschland fahren kann.",Lediglich Harz-IV-Empfänger,Harz-IV-Empfänger,lediglich,lediglich,unexpected,2,Lediglich Harz-IV-Empfänger erhalten dafür keine zusätzlichen finanziellen Zuschüsse.,gpt-5.2-chat-latest,1.0,1
5,5,medium,EW,"Das Bundesministerium hat ein 9-Euro-Ticket eingeführt, womit jeder für 9 Euro einen Monat lang mit dem Zug durch ganz Deutschland fahren kann.",Ausgerechnet Harz-IV-Empfänger,Harz-IV-Empfänger,ausgerechnet,ausgerechnet,unexpected,3,"profitieren davon besonders, weil sie nun günstig mobil sein können.",gpt-5.2-chat-latest,1.0,1
5,6,medium,OH,"Das Bundesministerium hat ein 9-Euro-Ticket eingeführt, womit jeder für 9 Euro einen Monat lang mit dem Zug durch ganz Deutschland fahren kann.",Harz-IV-Empfänger,Harz-IV-Empfänger,ohne,ohne,unexpected,4,konnten das Ticket besonders günstig nutzen und profitieren davon.,gpt-5.2-chat-latest,1.0,1
6,1,high,RA,"Nadja hat einen guten Job und hat ein gutes Gehalt. Sie kann jeden Monat sparen und zusätzlich feiern gehen. Nächste Woche hat sie einen Termin bei ihrer Bank, um eine Hypothek für ihr Traumhaus anzufragen.  ",Auch Nadja,Nadja,auch,auch,unexpected,6,Auch Nadja freut sich auf den möglichen Hauskauf.,gpt-5.2-chat-latest,1.0,1
6,2,high,EW,"Nadja hat einen guten Job und hat ein gutes Gehalt. Sie kann jeden Monat sparen und zusätzlich feiern gehen. Nächste Woche hat sie einen Termin bei ihrer Bank, um eine Hypothek für ihr Traumhaus anzufragen.  ",Ausgerechnet Nadja,Nadja,ausgerechnet,ausgerechnet,unexpected,1,Ausgerechnet Nadja bekommt die Hypothek wahrscheinlich ohne Probleme.,gpt-5.2-chat-latest,1.0,1
6,3,high,OH,"Nadja hat einen guten Job und hat ein gutes Gehalt. Sie kann jeden Monat sparen und zusätzlich feiern gehen. Nächste Woche hat sie einen Termin bei ihrer Bank, um eine Hypothek für ihr Traumhaus anzufragen.  ",Nadja,Nadja,ohne,ohne ,unexpected,2,Nadja ist finanziell gut aufgestellt und plant den Kauf ihres Traumhauses.,gpt-5.2-chat-latest,1.0,1
6,4,medium,RA,"Nadja hat einen stabilen Job. Ihre Rechnungen werden zeitnah beglichen und insofern kann sie sich nicht beschweren. Nächste Woche hat sie einen Termin bei ihrer Bank, um eine Hypothek für ihr Traumhaus anzufragen.",Auch Nadja,Nadja,auch,auch,unexpected,3,Auch Nadja blickt optimistisch in ihre finanzielle Zukunft.,gpt-5.2-chat-latest,1.0,1
6,5,medium,EW,"Nadja hat einen stabilen Job. Ihre Rechnungen werden zeitnah beglichen und insofern kann sie sich nicht beschweren. Nächste Woche hat sie einen Termin bei ihrer Bank, um eine Hypothek für ihr Traumhaus anzufragen.  ",Ausgerechnet Nadja,Nadja,ausgerechnet,ausgerechnet,unexpected,4,"Ausgerechnet Nadja macht sich plötzlich Sorgen, ob die Bank zustimmen wird.",gpt-5.2-chat-latest,1.0,1
6,6,medium,OH,"Nadja hat einen stabilen Job. Ihre Rechnungen werden zeitnah beglichen und insofern kann sie sich nicht beschweren. Nächste Woche hat sie einen Termin bei ihrer Bank, um eine Hypothek für ihr Traumhaus anzufragen.  ",Nadja,Nadja,ohne,ohne ,unexpected,5,Nadja fühlt sich finanziell gut aufgestellt und blickt dem Banktermin optimistisch entgegen.,gpt-5.2-chat-latest,1.0,1
7,1,high,RA,Erhard wird heute viel zu spät bei der Arbeit erscheinen. Er hat verschlafen und keine Zeit gehabt zu frühstücken. Außerdem regnet es draußen. Erhard rennt schnell zu seinem Auto.,Sogar heute,heute ,sogar,sogar,unexpected and unfair,1,Sogar heute kommt er zu spät.,gpt-5.2-chat-latest,1.0,1
7,2,high,EW,Erhard wird heute viel zu spät bei der Arbeit erscheinen. Er hat verschlafen und keine Zeit gehabt zu frühstücken. Außerdem regnet es draußen. Erhard rennt schnell zu seinem Auto.,Eben heute,heute ,eben,eben,unexpected  and unfair,2,Eben heute springt sein Auto nicht an.,gpt-5.2-chat-latest,1.0,1
7,3,high,OH,Erhard wird heute viel zu spät bei der Arbeit erscheinen. Er hat verschlafen und keine Zeit gehabt zu frühstücken. Außerdem regnet es draußen. Erhard rennt schnell zu seinem Auto.,Heute,heute ,ohne,ohne,unexpected and unfair,3,"Heute kommt er verspätet, hungrig und durchnässt im Büro an.",gpt-5.2-chat-latest,1.0,1
7,4,medium,RA,"Erhard hat gerade ein Bauernfrühstück verzehrt und schaut, bevor er zur Arbeit fährt, noch kurz die Tagesschau. Dann wird er seine Jacke anziehen und zum Auto laufen.",Sogar heute,heute ,sogar,sogar,unexpected,4,Sogar heute lässt er sich diese Routine nicht nehmen.,gpt-5.2-chat-latest,1.0,1
7,5,medium,EW,"Erhard hat gerade ein Bauernfrühstück verzehrt und schaut, bevor er zur Arbeit fährt, noch kurz die Tagesschau. Dann wird er seine Jacke anziehen und zum Auto laufen.",Eben heute,heute ,eben,eben,unexpected,5,ist es nicht anders als sonst.,gpt-5.2-chat-latest,1.0,1
7,6,medium,OH,"Erhard hat gerade ein Bauernfrühstück verzehrt und schaut, bevor er zur Arbeit fährt, noch kurz die Tagesschau. Dann wird er seine Jacke anziehen und zum Auto laufen.",Heute,heute ,ohne,ohne,unexpected,6,Heute macht er sich gut gelaunt auf den Weg zur Arbeit.,gpt-5.2-chat-latest,1.0,1
8,1,high,RA,Moritz ist gelernter Waffenmechaniker und Sportschütze. Er hat einen absolut sicheren Umgang mit Waffen. Heute wird bei der Arbeit eine Schießübung gemacht.,Auch Moritz,Moritz,auch ,auch,unexpected,2,nimmt an der Schießübung teil.,gpt-5.2-chat-latest,1.0,1
8,2,high,EW,Moritz ist gelernter Waffenmechaniker und Sportschütze. Er hat einen absolut sicheren Umgang mit Waffen. Heute wird bei der Arbeit eine Schießübung gemacht.,Ausgerechnet Moritz,Moritz,ausgerechnet,ausgerechnet,unexpected,3,Ausgerechnet Moritz unterläuft heute ein kleiner Fehler.,gpt-5.2-chat-latest,1.0,1
8,3,high,OH,Moritz ist gelernter Waffenmechaniker und Sportschütze. Er hat einen absolut sicheren Umgang mit Waffen. Heute wird bei der Arbeit eine Schießübung gemacht.,Moritz ,Moritz,ohne,ohne ,unexpected,4,Moritz nimmt heute sicher und konzentriert an der Schießübung teil.,gpt-5.2-chat-latest,1.0,1
8,4,medium,RA,Moritz arbeitet schon längere Zeit bei der Polizei und übt gelegentlich mit Waffen. Heute wird bei der Arbeit eine Schießübung gemacht. ,Auch Moritz,Moritz,auch ,auch,unexpected,5,Auch Moritz nimmt an der Schießübung teil.,gpt-5.2-chat-latest,1.0,1
8,5,medium,EW,Moritz arbeitet schon längere Zeit bei der Polizei und übt gelegentlich mit Waffen. Heute wird bei der Arbeit eine Schießübung gemacht. ,Ausgerechnet Moritz,Moritz,ausgerechnet,ausgerechnet,unexpected,6,Ausgerechnet Moritz ist heute besonders nervös bei der Schießübung.,gpt-5.2-chat-latest,1.0,1
8,6,medium,OH,Moritz arbeitet schon längere Zeit bei der Polizei und übt gelegentlich mit Waffen. Heute wird bei der Arbeit eine Schießübung gemacht. ,Moritz ,Moritz,ohne,ohne ,unexpected,1,nimmt an der Schießübung teil.,gpt-5.2-chat-latest,1.0,1
9,1,high,RA,"Anna fliegt an Weihnachten nach Kuba. Sie hat bereits alles für den Urlaub erledigt und freut sich, dem Winter entfliehen zu können. ",Sogar einen Tag vor dem Abflug,einen Tag vor dem Abflug,sogar,sogar,unfair,3,Sogar einen Tag vor dem Abflug überprüft sie noch einmal ihre Reisedokumente und packt entspannt ihren Koffer.,gpt-5.2-chat-latest,1.0,1
9,2,high,EW,"Anna fliegt an Weihnachten nach Kuba. Sie hat bereits alles für den Urlaub erledigt und freut sich, dem Winter entfliehen zu können. ",Ausgerechnet einen Tag vor dem Abflug,einen Tag vor dem Abflug,ausgerechnet,ausgerechnet,unfair,4,Ausgerechnet einen Tag vor dem Abflug wird Anna krank und bekommt Fieber.,gpt-5.2-chat-latest,1.0,1
9,3,high,OH,"Anna fliegt an Weihnachten nach Kuba. Sie hat bereits alles für den Urlaub erledigt und freut sich, dem Winter entfliehen zu können. ",Einen Tag vor dem Abflug,einen Tag vor dem Abflug,ohne,ohne ,unfair,5,packt sie ihre Koffer und überprüft noch einmal ihre Reisedokumente.,gpt-5.2-chat-latest,1.0,1
9,4,medium,RA,Anna fliegt an Weihnachten nach Kuba. Ihr Flug ist am Morgen für 6:15 Uhr angesagt. ,Sogar einen Tag vor dem Abflug,einen Tag vor dem Abflug,sogar,sogar,unexpected,6,Sogar einen Tag vor dem Abflug packt sie bereits ihre Koffer.,gpt-5.2-chat-latest,1.0,1
9,5,medium,EW,Anna fliegt an Weihnachten nach Kuba. Ihr Flug ist am Morgen für 6:15 Uhr angesagt. ,Ausgerechnet einen Tag vor dem Abflug,einen Tag vor dem Abflug,ausgerechnet,ausgerechnet,unexpected,1,Ausgerechnet einen Tag vor dem Abflug wird Anna krank.,gpt-5.2-chat-latest,1.0,1
9,6,medium,OH,Anna fliegt an Weihnachten nach Kuba. Ihr Flug ist am Morgen für 6:15 Uhr angesagt. ,Einen Tag vor dem Abflug,einen Tag vor dem Abflug,ohne,ohne ,unexpected,2,Einen Tag vor dem Abflug packt sie ihre Koffer und checkt online ein.,gpt-5.2-chat-latest,1.0,1
10,1,high,RA,"Nina arbeitet schon 20 Jahre in der gleichen Firma. Sie liefert täglich eine Topleistung ab. Die Firma hat angekündigt, einige Mitarbeiter entlassen zu müssen.",Auch Nina,Nina ,auch,auch,unexpected and unfair,4,Auch Nina muss nun um ihren Arbeitsplatz bangen.,gpt-5.2-chat-latest,1.0,1
10,2,high,EW,"Nina arbeitet schon 20 Jahre in der gleichen Firma. Sie liefert täglich eine Topleistung ab. Die Firma hat angekündigt, einige Mitarbeiter entlassen zu müssen.",Ausgerechnet Nina,Nina ,ausgerechnet,ausgerechnet,unexpected and unfair,5,Ausgerechnet Nina soll entlassen werden.,gpt-5.2-chat-latest,1.0,1
10,3,high,OH,"Nina arbeitet schon 20 Jahre in der gleichen Firma. Sie liefert täglich eine Topleistung ab. Die Firma hat angekündigt, einige Mitarbeiter entlassen zu müssen.",Nina,Nina ,ohne,ohne,unexpected and unfair,6,Nina macht sich nun Sorgen um ihren Arbeitsplatz.,gpt-5.2-chat-latest,1.0,1
10,4,medium,RA,"Nina arbeitet zusammen mit 30 anderen Kundenservicemitarbeitern für eine große Telefonie-Firma. Die Firma hat angekündigt, einige Mitarbeiter entlassen zu müssen. ",Auch Nina,Nina ,auch,auch,unexpected and unfair,1,Auch Nina ist von der möglichen Entlassung betroffen.,gpt-5.2-chat-latest,1.0,1
10,5,medium,EW,"Nina arbeitet zusammen mit 30 anderen Kundenservicemitarbeitern für eine große Telefonie-Firma. Die Firma hat angekündigt, einige Mitarbeiter entlassen zu müssen. ",Ausgerechnet Nina,Nina ,ausgerechnet,ausgerechnet,unexpected and unfair,2,Ausgerechnet Nina steht nun auf der Liste der möglichen Entlassungen.,gpt-5.2-chat-latest,1.0,1
10,6,medium,OH,"Nina arbeitet zusammen mit 30 anderen Kundenservicemitarbeitern für eine große Telefonie-Firma. Die Firma hat angekündigt, einige Mitarbeiter entlassen zu müssen. ",Nina,Nina ,ohne,ohne,unexpected and unfair,3,Nina macht sich Sorgen um ihren Arbeitsplatz.,gpt-5.2-chat-latest,1.0,1
11,1,high,RA,Julia fährt jeden Morgen mit dem Fahrrad zur Arbeit. Am Dienstag hatte sie eine wichtige Besprechung mit einer potenziellen neuen Kundin.,Erst dann,dann,erst,erst,unexpected,5,"wurde ihr bewusst, wie wichtig Pünktlichkeit an diesem Tag war.",gpt-5.2-chat-latest,1.0,1
11,2,high,EW,Julia fährt jeden Morgen mit dem Fahrrad zur Arbeit. Am Dienstag hatte sie eine wichtige Besprechung mit einer potenziellen neuen Kundin.,Gerade dann,dann,gerade,gerade,unexpected,6,Gerade dann bekam sie auf dem Weg zur Arbeit einen Platten.,gpt-5.2-chat-latest,1.0,1
11,3,high,OH,Julia fährt jeden Morgen mit dem Fahrrad zur Arbeit. Am Dienstag hatte sie eine wichtige Besprechung mit einer potenziellen neuen Kundin.,Dann,dann,ohne,ohne ,unexpected,1,"Dann kam sie etwas früher im Büro an, um sich gut vorzubereiten.",gpt-5.2-chat-latest,1.0,1
11,4,medium,RA,Julia fährt jeden Morgen mit dem Fahrrad zur Arbeit. Am Dienstag hatte sie eine Besprechung mit einer Kollegin. ,Erst dann,dann,erst,erst,unexpected,2,"Erst dann bemerkte sie, dass sie ihr Fahrradlicht angelassen hatte.",gpt-5.2-chat-latest,1.0,1
11,5,medium,EW,Julia fährt jeden Morgen mit dem Fahrrad zur Arbeit. Am Dienstag hatte sie eine Besprechung mit einer Kollegin. ,Gerade dann,dann,gerade,gerade,unexpected,3,Gerade dann begann es heftig zu regnen.,gpt-5.2-chat-latest,1.0,1
11,6,medium,OH,Julia fährt jeden Morgen mit dem Fahrrad zur Arbeit. Am Dienstag hatte sie eine Besprechung mit einer Kollegin. ,Dann,dann,ohne,ohne ,unexpected,4,Dann traf sie sich mit ihr im Büro.,gpt-5.2-chat-latest,1.0,1
12,1,high,RA,"Lisa hat eine chronische Krankheit, die ihre Leistungsfähigkeit bei der Arbeit stark beeinträchtigt. Ihr Arbeitgeber hat sie nun zum Evaluationsgespräch eingeladen.",Auch Lisa,Lisa,auch,auch,unexpected,6,Auch Lisa macht sich Sorgen um ihre berufliche Zukunft.,gpt-5.2-chat-latest,1.0,1
12,2,high,EW,"Lisa hat eine chronische Krankheit, die ihre Leistungsfähigkeit bei der Arbeit stark beeinträchtigt. Ihr Arbeitgeber hat sie nun zum Evaluationsgespräch eingeladen.",Ausgerechnet Lisa,Lisa,ausgerechnet,ausgerechnet,unexpected,1,Ausgerechnet Lisa trifft diese Situation besonders hart.,gpt-5.2-chat-latest,1.0,1
12,3,high,OH,"Lisa hat eine chronische Krankheit, die ihre Leistungsfähigkeit bei der Arbeit stark beeinträchtigt. Ihr Arbeitgeber hat sie nun zum Evaluationsgespräch eingeladen.",Lisa,Lisa,ohne,ohne,unexpected,2,"Lisa hofft, dass im Gespräch gemeinsam eine passende Lösung gefunden wird.",gpt-5.2-chat-latest,1.0,1
12,4,medium,RA,"Lisa hat eine chronische Krankheit, die ihre Leistungsfähigkeit bei der Arbeit aber nicht beeinträchtigt. Morgen hat sie das jährliche Evaluationsgespräch mit ihrem Arbeitgeber.",Auch Lisa,Lisa,auch,auch,unexpected,3,Auch Lisa bereitet sich sorgfältig auf das Gespräch vor.,gpt-5.2-chat-latest,1.0,1
12,5,medium,EW,"Lisa hat eine chronische Krankheit, die ihre Leistungsfähigkeit bei der Arbeit aber nicht beeinträchtigt. Morgen hat sie das jährliche Evaluationsgespräch mit ihrem Arbeitgeber.",Ausgerechnet Lisa,Lisa,ausgerechnet,ausgerechnet,unexpected,4,"Ausgerechnet Lisa fragt sich, ob sie ihre Krankheit im Gespräch erwähnen soll.",gpt-5.2-chat-latest,1.0,1
12,6,medium,OH,"Lisa hat eine chronische Krankheit, die ihre Leistungsfähigkeit bei der Arbeit aber nicht beeinträchtigt. Morgen hat sie das jährliche Evaluationsgespräch mit ihrem Arbeitgeber.",Lisa,Lisa,ohne,ohne,unexpected,5,Lisa bereitet sich ruhig auf das Gespräch vor und geht selbstbewusst hinein.,gpt-5.2-chat-latest,1.0,1
13,1,high,RA,"Weltweit herrscht seit 2 Jahren eine furchtbare Pandemie. Holland hat im Vergleich zu anderen europäischen Ländern wenige Maßnahmen getroffen, um die Pandemie zu bekämpfen. ",Nur Holland,Holland ,nur,nur,unexpected,1,ging dabei einen vergleichsweise lockeren Sonderweg.,gpt-5.2-chat-latest,1.0,1
13,2,high,EW,"Weltweit herrscht seit 2 Jahren eine furchtbare Pandemie. Holland hat im Vergleich zu anderen europäischen Ländern wenige Maßnahmen getroffen, um die Pandemie zu bekämpfen. ",Ausgerechnet Holland,Holland ,ausgerechnet,ausgerechnet,unexpected,2,Ausgerechnet Holland ging dabei einen besonders lockeren Weg.,gpt-5.2-chat-latest,1.0,1
13,3,high,OH,"Weltweit herrscht seit 2 Jahren eine furchtbare Pandemie. Holland hat im Vergleich zu anderen europäischen Ländern wenige Maßnahmen getroffen, um die Pandemie zu bekämpfen. ",Holland ,Holland ,ohne,ohne ,unexpected,3,Holland ging dabei einen vergleichsweise liberalen Sonderweg.,gpt-5.2-chat-latest,1.0,1
